est_method,cp_time,cp,tag,dets,error
knn,5,A_1,2D331955,27,151
knn,5,A_1,4C2A341E,27,329
knn,5,A_1,78524B34,27,65
knn,5,A_10,2D331955,31,309
knn,5,A_10,4C2A341E,31,53
knn,5,A_10,78524B34,31,317
knn,5,A_11,2D331955,40,61
knn,5,A_11,4C2A341E,40,116
knn,5,A_11,78524B34,40,153
knn,5,A_12,2D331955,31,60
knn,5,A_12,4C2A341E,31,174
knn,5,A_12,78524B34,31,59
knn,5,A_13,2D331955,16,135
knn,5,A_13,4C2A341E,16,135
knn,5,A_13,78524B34,16,222
knn,5,A_14,2D331955,22,76
knn,5,A_14,4C2A341E,22,60
knn,5,A_14,78524B34,22,149
knn,5,A_16,2D331955,27,164
knn,5,A_16,4C2A341E,27,56
knn,5,A_16,78524B34,27,137
knn,5,A_17,2D331955,21,50
knn,5,A_17,4C2A341E,21,56
knn,5,A_17,78524B34,21,69
knn,5,A_18,2D331955,14,49
knn,5,A_18,4C2A341E,14,143
knn,5,A_18,78524B34,14,101
knn,5,A_19,2D331955,25,77
knn,5,A_19,4C2A341E,25,82
knn,5,A_19,78524B34,25,83
knn,5,A_2,2D331955,23,295
knn,5,A_2,4C2A341E,23,132
knn,5,A_2,78524B34,23,101
knn,5,A_20,2D331955,17,60
knn,5,A_20,4C2A341E,17,35
knn,5,A_20,78524B34,17,59
knn,5,A_21,2D331955,13,59
knn,5,A_21,78524B34,13,116
knn,5,A_22,2D331955,30,61
knn,5,A_22,4C2A341E,30,37
knn,5,A_22,78524B34,30,59
knn,5,A_23,2D331955,27,26
knn,5,A_23,4C2A341E,27,25
knn,5,A_23,78524B34,27,19
knn,5,A_24,2D331955,25,19
knn,5,A_24,4C2A341E,25,18
knn,5,A_24,78524B34,25,25
knn,5,A_3,2D331955,37,93
knn,5,A_3,4C2A341E,37,67
knn,5,A_3,78524B34,37,83
knn,5,A_4,2D331955,18,63
knn,5,A_4,4C2A341E,18,286
knn,5,A_4,78524B34,18,19
knn,5,A_5,2D331955,31,26
knn,5,A_5,4C2A341E,31,37
knn,5,A_5,78524B34,31,67
knn,5,A_6,2D331955,47,83
knn,5,A_6,4C2A341E,47,0
knn,5,A_6,78524B34,47,26
knn,5,A_7,2D331955,41,270
knn,5,A_7,4C2A341E,41,140
knn,5,A_7,78524B34,41,97
knn,5,A_8,2D331955,44,143
knn,5,A_8,4C2A341E,44,50
knn,5,A_8,78524B34,44,50
knn,5,A_9,2D331955,37,107
knn,5,A_9,4C2A341E,37,322
knn,5,A_9,78524B34,37,67
knn,5,B_1,2D1E4C2A,11,184
knn,5,B_1,2D2D5555,11,102
knn,5,B_10,2D1E4C2A,15,175
knn,5,B_10,2D2D5555,15,108
knn,5,B_10,521E521E,15,43
knn,5,B_11,2D1E4C2A,13,170
knn,5,B_11,2D2D5555,13,119
knn,5,B_11,521E521E,13,120
knn,5,B_14,2D1E4C2A,16,17
knn,5,B_14,2D2D5555,16,95
knn,5,B_14,521E521E,16,17
knn,5,B_15,2D1E4C2A,17,77
knn,5,B_15,2D2D5555,17,50
knn,5,B_15,521E521E,17,64
knn,5,B_16,2D1E4C2A,11,49
knn,5,B_16,2D2D5555,11,60
knn,5,B_16,521E521E,11,60
knn,5,B_17,2D1E4C2A,11,71
knn,5,B_17,2D2D5555,11,37
knn,5,B_17,521E521E,11,67
knn,5,B_18,2D1E4C2A,11,37
knn,5,B_18,2D2D5555,11,37
knn,5,B_18,521E521E,11,35
knn,5,B_19,2D1E4C2A,11,409
knn,5,B_19,2D2D5555,11,51
knn,5,B_19,521E521E,11,476
knn,5,B_2,2D1E4C2A,20,30
knn,5,B_2,2D2D5555,20,86
knn,5,B_2,521E521E,20,48
knn,5,B_20,2D1E4C2A,22,35
knn,5,B_20,2D2D5555,22,42
knn,5,B_20,521E521E,22,8
knn,5,B_21,2D1E4C2A,35,12
knn,5,B_21,2D2D5555,35,53
knn,5,B_21,521E521E,35,26
knn,5,B_22,2D1E4C2A,29,42
knn,5,B_22,2D2D5555,29,25
knn,5,B_22,521E521E,29,138
knn,5,B_23,2D1E4C2A,30,56
knn,5,B_23,2D2D5555,30,53
knn,5,B_23,521E521E,30,67
knn,5,B_24,2D1E4C2A,20,126
knn,5,B_24,2D2D5555,20,9
knn,5,B_24,521E521E,20,84
knn,5,B_3,2D1E4C2A,20,160
knn,5,B_3,2D2D5555,20,67
knn,5,B_3,521E521E,20,201
knn,5,B_4,2D1E4C2A,28,83
knn,5,B_4,2D2D5555,28,167
knn,5,B_4,521E521E,28,42
knn,5,B_5,2D1E4C2A,33,345
knn,5,B_5,2D2D5555,33,125
knn,5,B_5,521E521E,33,330
knn,5,B_6,2D1E4C2A,34,100
knn,5,B_6,2D2D5555,34,11
knn,5,B_6,521E521E,34,30
knn,5,B_7,2D1E4C2A,25,50
knn,5,B_7,2D2D5555,25,123
knn,5,B_7,521E521E,25,8
knn,5,B_8,2D1E4C2A,19,43
knn,5,B_8,2D2D5555,19,176
knn,5,B_8,521E521E,19,285
knn,5,B_9,2D1E4C2A,33,51
knn,5,B_9,2D2D5555,33,42
knn,5,B_9,521E521E,33,71
knn,5,C_1,4B2A5555,34,38
knn,5,C_1,55346178,34,47
knn,5,C_1,782D5207,34,153
knn,5,C_13,4B2A5555,15,51
knn,5,C_13,55346178,15,100
knn,5,C_13,782D5207,15,37
knn,5,C_14,4B2A5555,15,83
knn,5,C_14,55346178,15,84
knn,5,C_14,782D5207,15,18
knn,5,C_15,4B2A5555,13,45
knn,5,C_15,55346178,13,26
knn,5,C_16,4B2A5555,29,89
knn,5,C_16,55346178,29,87
knn,5,C_16,782D5207,29,34
knn,5,C_17,4B2A5555,30,23
knn,5,C_17,55346178,30,59
knn,5,C_17,782D5207,30,26
knn,5,C_18,4B2A5555,17,37
knn,5,C_18,55346178,17,301
knn,5,C_18,782D5207,17,30
knn,5,C_19,4B2A5555,21,17
knn,5,C_19,55346178,21,48
knn,5,C_19,782D5207,21,128
knn,5,C_2,4B2A5555,20,252
knn,5,C_2,55346178,20,42
knn,5,C_2,782D5207,20,34
knn,5,C_20,4B2A5555,35,12
knn,5,C_20,55346178,35,19
knn,5,C_20,782D5207,35,30
knn,5,C_21,4B2A5555,19,227
knn,5,C_21,55346178,19,75
knn,5,C_21,782D5207,19,400
knn,5,C_22,4B2A5555,25,354
knn,5,C_22,55346178,25,26
knn,5,C_22,782D5207,25,72
knn,5,C_23,4B2A5555,51,56
knn,5,C_23,55346178,51,0
knn,5,C_23,782D5207,51,42
knn,5,C_3,4B2A5555,32,87
knn,5,C_3,55346178,32,172
knn,5,C_3,782D5207,32,102
knn,5,C_4,4B2A5555,25,202
knn,5,C_4,55346178,25,75
knn,5,C_4,782D5207,25,34
knn,5,C_5,4B2A5555,38,125
knn,5,C_5,55346178,38,48
knn,5,C_5,782D5207,38,261
knn,5,C_6,4B2A5555,24,137
knn,5,C_6,55346178,24,53
knn,5,C_6,782D5207,24,168
knn,5,C_7,4B2A5555,24,128
knn,5,C_7,55346178,24,0
knn,5,C_7,782D5207,24,42
knn,5,C_8,4B2A5555,29,37
knn,5,C_8,55346178,29,33
knn,5,C_8,782D5207,29,103
knn,5,D_1,07610752,30,26
knn,5,D_1,34191966,30,181
knn,5,D_1,78335578,30,42
knn,5,D_12,07610752,16,37
knn,5,D_12,34191966,16,30
knn,5,D_12,78335578,16,29
knn,5,D_13,07610752,20,26
knn,5,D_13,34191966,20,19
knn,5,D_13,78335578,20,98
knn,5,D_14,07610752,18,8
knn,5,D_14,34191966,18,71
knn,5,D_14,78335578,18,36
knn,5,D_15,07610752,20,34
knn,5,D_15,34191966,20,86
knn,5,D_15,78335578,20,37
knn,5,D_16,07610752,38,25
knn,5,D_16,34191966,38,71
knn,5,D_16,78335578,38,35
knn,5,D_17,07610752,20,481
knn,5,D_17,34191966,20,8
knn,5,D_17,78335578,20,203
knn,5,D_18,07610752,33,34
knn,5,D_18,34191966,33,53
knn,5,D_18,78335578,33,47
knn,5,D_19,07610752,32,43
knn,5,D_19,34191966,32,45
knn,5,D_2,07610752,37,53
knn,5,D_2,34191966,37,111
knn,5,D_2,78335578,37,167
knn,5,D_20,07610752,27,51
knn,5,D_20,34191966,27,82
knn,5,D_20,78335578,27,58
knn,5,D_21,07610752,34,60
knn,5,D_21,34191966,34,71
knn,5,D_21,78335578,34,279
knn,5,D_22,07610752,24,34
knn,5,D_22,34191966,24,309
knn,5,D_22,78335578,24,377
knn,5,D_23,07610752,29,97
knn,5,D_23,34191966,29,115
knn,5,D_23,78335578,29,76
knn,5,D_24,07610752,35,156
knn,5,D_24,34191966,35,74
knn,5,D_24,78335578,35,334
knn,5,D_3,07610752,34,100
knn,5,D_3,34191966,34,79
knn,5,D_3,78335578,34,102
knn,5,D_4,07610752,16,158
knn,5,D_4,34191966,16,71
knn,5,D_4,78335578,16,184
knn,5,D_5,07610752,17,79
knn,5,D_5,34191966,17,108
knn,5,D_5,78335578,17,201
knn,5,D_6,07610752,25,108
knn,5,D_6,34191966,25,167
knn,5,D_6,78335578,25,42
knn,5,D_7,07610752,14,116
knn,5,D_7,34191966,14,159
knn,5,D_7,78335578,14,30
knn,5,E_1,524B0778,42,12
knn,5,E_1,664B1E61,42,295
knn,5,E_1,78521E33,42,34
knn,5,E_11,524B0778,17,79
knn,5,E_11,664B1E61,17,79
knn,5,E_11,78521E33,17,45
knn,5,E_12,524B0778,23,45
knn,5,E_12,664B1E61,23,53
knn,5,E_12,78521E33,23,45
knn,5,E_13,524B0778,19,79
knn,5,E_13,664B1E61,19,19
knn,5,E_13,78521E33,19,79
knn,5,E_14,524B0778,21,53
knn,5,E_14,664B1E61,21,48
knn,5,E_14,78521E33,21,58
knn,5,E_15,524B0778,22,76
knn,5,E_15,664B1E61,22,106
knn,5,E_15,78521E33,22,69
knn,5,E_16,524B0778,31,35
knn,5,E_16,664B1E61,31,33
knn,5,E_16,78521E33,31,25
knn,5,E_17,524B0778,36,56
knn,5,E_17,664B1E61,36,19
knn,5,E_17,78521E33,36,26
knn,5,E_18,524B0778,32,43
knn,5,E_18,664B1E61,32,461
knn,5,E_18,78521E33,32,63
knn,5,E_19,524B0778,39,34
knn,5,E_19,664B1E61,39,59
knn,5,E_19,78521E33,39,53
knn,5,E_2,524B0778,28,50
knn,5,E_2,664B1E61,28,214
knn,5,E_2,78521E33,28,59
knn,5,E_20,524B0778,39,8
knn,5,E_20,664B1E61,39,45
knn,5,E_20,78521E33,39,74
knn,5,E_21,524B0778,46,19
knn,5,E_21,664B1E61,46,346
knn,5,E_21,78521E33,46,101
knn,5,E_22,524B0778,35,104
knn,5,E_22,664B1E61,35,106
knn,5,E_22,78521E33,35,42
knn,5,E_23,524B0778,38,75
knn,5,E_23,664B1E61,38,125
knn,5,E_23,78521E33,38,150
knn,5,E_24,524B0778,32,288
knn,5,E_24,664B1E61,32,153
knn,5,E_24,78521E33,32,93
knn,5,E_3,524B0778,28,79
knn,5,E_3,664B1E61,28,118
knn,5,E_3,78521E33,28,237
knn,5,E_4,524B0778,22,79
knn,5,E_4,664B1E61,22,214
knn,5,E_4,78521E33,22,126
knn,5,E_5,524B0778,27,145
knn,5,E_5,664B1E61,27,139
knn,5,E_5,78521E33,27,77
knn,5,E_6,524B0778,22,112
knn,5,E_6,664B1E61,22,150
knn,5,E_6,78521E33,22,77
knn,5,E_7,524B0778,17,105
knn,5,E_7,664B1E61,17,156
knn,5,E_7,78521E33,17,84
knn,5,E_8,524B0778,15,120
knn,5,E_8,664B1E61,15,124
knn,5,E_8,78521E33,15,89
knn,5,F_1,072D1E2A,40,113
knn,5,F_1,2D2A784C,40,130
knn,5,F_1,6119331E,40,53
knn,5,F_10,072D1E2A,20,104
knn,5,F_10,2D2A784C,20,112
knn,5,F_10,6119331E,20,26
knn,5,F_11,072D1E2A,19,50
knn,5,F_11,2D2A784C,19,90
knn,5,F_11,6119331E,19,87
knn,5,F_12,072D1E2A,30,26
knn,5,F_12,2D2A784C,30,33
knn,5,F_12,6119331E,30,77
knn,5,F_13,072D1E2A,25,56
knn,5,F_13,2D2A784C,25,0
knn,5,F_13,6119331E,25,47
