est_method,nodes,tag,x,y,x_est,y_est,cp,error,node_count
ml,odd,554B554C,185707.38475158063,447686.06075236876,185695.67790152977,447674.4669477055,Z_22,16.47624485990797,1
ml,odd,19614B34,185707.38475158063,447686.06075236876,185695.67790152977,447674.4669477055,Z_22,16.47624485990797,1
ml,odd,19614B34,185708.20557411673,447711.04360821407,185695.67790152977,447674.4669477055,Z_21,38.66257459619212,1
ml,odd,071E2A4C,185708.20557411673,447711.04360821407,185695.67790152977,447674.4669477055,Z_21,38.66257459619212,1
ml,odd,554B554C,185708.20557411673,447711.04360821407,185695.67790152977,447674.4669477055,Z_21,38.66257459619212,1
ml,odd,19614B34,185731.54678613157,447660.2570779733,185695.67790152977,447674.4669477055,Z_20,38.58104820224423,1
ml,odd,071E2A4C,185732.36760572664,447685.23993128893,185695.67790152977,447674.4669477055,Z_19,38.23861359076114,1
ml,odd,554B554C,185732.36760572664,447685.23993128893,185695.67790152977,447674.4669477055,Z_19,38.23861359076114,1
ml,odd,19614B34,185733.18842806196,447710.22278438235,185695.67790152977,447674.4669477055,Z_18,51.821997811593455,1
ml,odd,554B554C,185733.18842806196,447710.22278438235,185695.67790152977,447674.4669477055,Z_18,51.821997811593455,1
ml,odd,071E2A4C,185734.0092531371,447735.20563729765,185726.39697146692,447753.2517040656,Z_17,19.585896916385433,3
ml,odd,19614B34,185734.0092531371,447735.20563729765,185731.4889674073,447755.3881670386,Z_17,20.33928088465553,3
ml,odd,554B554C,185734.0092531371,447735.20563729765,185707.63973005494,447703.64461469196,Z_17,41.127240309768375,3
ml,odd,19614B34,185734.83008095282,447760.18848999403,185750.24257133668,447821.0033145578,Z_16,62.73745090893908,1
ml,odd,554B554C,185734.83008095282,447760.18848999403,185750.24257133668,447821.0033145578,Z_16,62.73745090893908,1
ml,odd,071E2A4C,185734.83008095282,447760.18848999403,185750.24257133668,447821.0033145578,Z_16,62.73745090893908,1
ml,odd,071E2A4C,185735.6509115094,447785.17134251125,185750.24257133668,447821.0033145578,Z_15,38.68910385699899,1
ml,odd,554B554C,185735.6509115094,447785.17134251125,185750.24257133668,447821.0033145578,Z_15,38.68910385699899,1
ml,odd,19614B34,185756.52963773813,447659.4362598372,185886.3791931953,447657.54947992484,Z_14,129.86326266831102,3
ml,odd,554B554C,185756.52963773813,447659.4362598372,185888.32936924943,447716.2421321988,Z_14,143.52029947438976,3
ml,odd,071E2A4C,185756.52963773813,447659.4362598372,185902.36609655907,447646.8356328237,Z_14,146.3798091355626,3
ml,odd,19614B34,185757.35045713172,447684.41911040153,185832.6795943279,447747.61753021576,Z_13,98.32862847480901,2
ml,odd,554B554C,185757.35045713172,447684.41911040153,185886.1565635559,447700.0121074793,Z_13,129.74650134022252,1
ml,odd,071E2A4C,185757.35045713172,447684.41911040153,185843.29730561114,447738.16559876467,Z_13,101.36836673692983,2
ml,odd,071E2A4C,185758.17127926642,447709.40196076274,185765.18910505576,447714.9027432604,Z_12,8.91675315884878,3
ml,odd,554B554C,185758.17127926642,447709.40196076274,185736.63295767526,447679.95944399835,Z_12,36.4795982761004,2
ml,odd,19614B34,185758.17127926642,447709.40196076274,185739.86890790617,447680.3934186504,Z_12,34.299742169486116,2
ml,odd,19614B34,185758.99210414157,447734.3848109299,185739.79867928842,447726.5748395855,Z_11,20.721563888693886,3
ml,odd,554B554C,185758.99210414157,447734.3848109299,185700.03622710373,447865.6931986621,Z_11,143.93640306096262,2
ml,odd,071E2A4C,185758.99210414157,447734.3848109299,185784.87379228466,447790.1744562666,Z_11,61.50078298636632,2
ml,odd,071E2A4C,185759.8129317578,447759.3676609011,185736.98917469912,447680.00721689017,Z_10,82.57726054965836,2
ml,odd,19614B34,185759.8129317578,447759.3676609011,185740.7686611931,447680.5140815879,Z_10,81.1207199909159,2
ml,odd,554B554C,185759.8129317578,447759.3676609011,185726.9878178878,447704.4494944931,Z_10,63.9804118633031,3
ml,odd,554B554C,185760.63376211363,447784.35051065456,185750.24257133668,447821.0033145578,Z_9,38.09730803784375,1
ml,odd,19614B34,185760.63376211363,447784.35051065456,185750.24257133668,447821.0033145578,Z_9,38.09730803784375,1
ml,odd,19614B34,185761.4545952106,447809.33336022036,185750.24257133668,447821.0033145578,Z_8,16.183241751480633,1
ml,odd,071E2A4C,185762.27543104743,447834.3162095887,185750.24257133668,447821.0033145578,Z_7,17.944996152784814,1
ml,odd,19614B34,185762.27543104743,447834.3162095887,185750.24257133668,447821.0033145578,Z_7,17.944996152784814,1
ml,odd,554B554C,185762.27543104743,447834.3162095887,185750.24257133668,447821.0033145578,Z_7,17.944996152784814,1
ml,odd,19614B34,185763.09626962506,447859.2990587542,185750.24257133668,447821.0033145578,Z_6,40.395316352821084,1
ml,odd,071E2A4C,185763.09626962506,447859.2990587542,185750.24257133668,447821.0033145578,Z_6,40.395316352821084,1
ml,odd,071E2A4C,185763.91711094358,447884.28190771316,185750.24257133668,447821.0033145578,Z_5,64.73927235600453,1
ml,odd,554B554C,185763.91711094358,447884.28190771316,185750.24257133668,447821.0033145578,Z_5,64.73927235600453,1
ml,odd,19614B34,185763.91711094358,447884.28190771316,185750.24257133668,447821.0033145578,Z_5,64.73927235600453,1
ml,odd,071E2A4C,185781.5124866035,447658.6154418912,185892.55241335637,447664.320323395,Z_4,111.18637958967238,2
