tag,cp,error,x_est,y_est,est,nearest_gp_det,mean_RSSI,dets_node,grid_point,distance_gp,mean_gp_distance,dist_center
4C2A341E,A_1,45.11356018540679,186423.0719973448,447904.6947246373,knn,FALSE,NA,NA,42A,6.489300375980302,427.1404488486224,367.63145158435185
78524B34,A_1,33.00761190097537,186463.17271235955,447853.291351915,knn,FALSE,NA,NA,42A,6.489300375980302,427.1404488486224,367.63145158435185
2D331955,A_1,32.96526342085755,186463.1741030138,447853.3336775555,knn,FALSE,NA,NA,42A,6.489300375980302,427.1404488486224,367.63145158435185
2D331955,A_10,91.87486116643286,186344.38592196073,447780.129040907,knn,TRUE,NA,NA,28A,36.57742349761841,396.4439667080205,327.67393260753096
4C2A341E,A_10,141.8693696423398,186308.8721609631,447724.1801014477,knn,TRUE,NA,NA,28A,36.57742349761841,396.4439667080205,327.67393260753096
78524B34,A_10,91.08624168871458,186350.56409003364,447755.56348888733,knn,TRUE,NA,NA,28A,36.57742349761841,396.4439667080205,327.67393260753096
78524B34,A_11,114.4555129042174,186333.60680584543,447709.4146045205,knn,TRUE,NA,NA,28A,51.704929514361034,396.9617265555422,328.33127209720055
2D331955,A_11,90.06977237234874,186377.6438627151,447831.4942795997,knn,TRUE,NA,NA,28A,51.704929514361034,396.9617265555422,328.33127209720055
4C2A341E,A_11,68.23409432907904,186369.56545953985,447780.9491585008,knn,TRUE,NA,NA,28A,51.704929514361034,396.9617265555422,328.33127209720055
4C2A341E,A_12,66.20138535435271,186376.1119025103,447705.7239371879,knn,FALSE,NA,NA,27,44.83438625105003,398.7188984768156,330.8816138190506
78524B34,A_12,68.90809539801766,186368.0363070638,447755.9395443988,knn,FALSE,NA,NA,27,44.83438625105003,398.7188984768156,330.8816138190506
2D331955,A_12,79.12892525203911,186365.96747938695,447697.3886124142,knn,FALSE,NA,NA,27,44.83438625105003,398.7188984768156,330.8816138190506
4C2A341E,A_13,49.93096878942381,186383.60080037772,447712.8324233357,knn,FALSE,NA,NA,27,21.015519513985776,401.6669321072245,335.2817628362778
78524B34,A_13,65.87716652575156,186385.0437812857,447756.8216472876,knn,FALSE,NA,NA,27,21.015519513985776,401.6669321072245,335.2817628362778
2D331955,A_13,65.42115417996166,186393.7587509181,447764.16803353257,knn,FALSE,NA,NA,27,21.015519513985776,401.6669321072245,335.2817628362778
78524B34,A_14,64.11447125657052,186375.3438401322,447715.8773172531,knn,FALSE,NA,NA,27,11.08185737355088,406.04845373851975,341.4602152794875
2D331955,A_14,84.21023635933675,186349.2583846815,447698.5382460053,knn,FALSE,NA,NA,27,11.08185737355088,406.04845373851975,341.4602152794875
4C2A341E,A_14,57.479814256648105,186376.02635136808,447696.7900646756,knn,FALSE,NA,NA,27,11.08185737355088,406.04845373851975,341.4602152794875
