tag,cp,error,x_cal,y_cal,x_est,y_est,node_count,round,dets,habitat
4C2A341E,A_1,45.11356018540679,186464.25663065465,447886.2811619256,186423.0719973448,447904.6947246373,14,one,NA,2
78524B34,A_1,33.00761190097537,186464.25663065465,447886.2811619256,186463.17271235955,447853.291351915,19,one,NA,2
2D331955,A_1,32.96526342085755,186464.25663065465,447886.2811619256,186463.1741030138,447853.3336775555,16,one,NA,2
4B2A2D1E,A_1,92.47726021408413,186464.25663065465,447886.2811619256,186391.3296815633,447943.1468260203,16,two,309,2
4C1E4B2A,A_1,73.40888060260546,186464.25663065465,447886.2811619256,186411.5884312914,447937.417494676,20,two,356,2
521E521E,A_1,78.22368603797891,186464.25663065465,447886.2811619256,186392.76361329897,447854.53697305976,16,two,261,2
2D331955,A_10,91.87486116643286,186435.99051959752,447787.1709018935,186344.38592196073,447780.129040907,24,one,NA,1
4C2A341E,A_10,141.8693696423398,186435.99051959752,447787.1709018935,186308.8721609631,447724.1801014477,16,one,NA,1
78524B34,A_10,91.08624168871458,186435.99051959752,447787.1709018935,186350.56409003364,447755.56348888733,23,one,NA,1
4B2A2D1E,A_10,12.401184715792205,186435.99051959752,447787.1709018935,186431.14311680145,447775.7563467779,19,two,375,1
4C1E4B2A,A_10,56.27335594574058,186435.99051959752,447787.1709018935,186443.75854318496,447842.9055266697,22,two,418,1
521E521E,A_10,18.15337626115554,186435.99051959752,447787.1709018935,186420.22770403104,447778.1665298945,16,two,338,1
78524B34,A_11,114.4555129042174,186435.16969189732,447762.18812639447,186333.60680584543,447709.4146045205,26,one,NA,1
2D331955,A_11,90.06977237234874,186435.16969189732,447762.18812639447,186377.6438627151,447831.4942795997,20,one,NA,1
4C2A341E,A_11,68.23409432907904,186435.16969189732,447762.18812639447,186369.56545953985,447780.9491585008,22,one,NA,1
4B2A2D1E,A_11,72.33243381293961,186435.16969189732,447762.18812639447,186408.452582152,447829.4055127477,22,two,371,1
4C1E4B2A,A_11,91.23300418313076,186435.16969189732,447762.18812639447,186424.07373960625,447852.7438600342,23,two,527,1
521E521E,A_11,22.475111591466497,186435.16969189732,447762.18812639447,186420.35677890823,447779.09103294415,16,two,329,1
4C2A341E,A_12,66.20138535435271,186434.3488669429,447737.2053506968,186376.1119025103,447705.7239371879,15,one,NA,2
78524B34,A_12,68.90809539801766,186434.3488669429,447737.2053506968,186368.0363070638,447755.9395443988,25,one,NA,2
2D331955,A_12,79.12892525203911,186434.3488669429,447737.2053506968,186365.96747938695,447697.3886124142,16,one,NA,2
4C2A341E,A_13,49.93096878942381,186433.52804473395,447712.2225747934,186383.60080037772,447712.8324233357,17,one,NA,2
78524B34,A_13,65.87716652575156,186433.52804473395,447712.2225747934,186385.0437812857,447756.8216472876,20,one,NA,2
2D331955,A_13,65.42115417996166,186433.52804473395,447712.2225747934,186393.7587509181,447764.16803353257,18,one,NA,2
78524B34,A_14,64.11447125657052,186432.70722527136,447687.2397986825,186375.3438401322,447715.8773172531,17,one,NA,2
2D331955,A_14,84.21023635933675,186432.70722527136,447687.2397986825,186349.2583846815,447698.5382460053,14,one,NA,2
4C2A341E,A_14,57.479814256648105,186432.70722527136,447687.2397986825,186376.02635136808,447696.7900646756,12,one,NA,2
2D331955,A_16,75.40344498571487,186431.06559458177,447637.2742458824,186420.23126643075,447562.6532243856,15,one,NA,2
78524B34,A_16,54.99296780920836,186431.06559458177,447637.2742458824,186389.7662463239,447673.58664516895,18,one,NA,2
4C2A341E,A_16,67.25726474561529,186431.06559458177,447637.2742458824,186412.8098913689,447572.54195902904,17,one,NA,2
78524B34,A_17,88.967598743198,186430.24478335585,447612.2914691779,186364.82496777287,447672.5864221609,17,one,NA,2
2D331955,A_17,43.93761933899213,186430.24478335585,447612.2914691779,186397.600135212,447582.88328425016,16,one,NA,2
4C2A341E,A_17,6.47507813305216,186430.24478335585,447612.2914691779,186430.0321605793,447605.8198829439,16,one,NA,2
4C2A341E,A_18,34.64554432063201,186429.4239748753,447587.3086922704,186420.11435347167,447553.93737688434,14,one,NA,2
78524B34,A_18,9.178298568989575,186429.4239748753,447587.3086922704,186429.1225866196,447578.13534338673,18,one,NA,2
2D331955,A_18,34.226350112613495,186429.4239748753,447587.3086922704,186420.1107712686,447554.3737976962,13,one,NA,2
78524B34,A_19,1.8040522240166037,186428.60316914055,447562.3259151653,186428.5439321627,447560.52283574175,16,one,NA,2
2D331955,A_19,55.991123345967,186428.60316914055,447562.3259151653,186401.89765910825,447513.1139082213,14,one,NA,2
4C2A341E,A_19,64.46631129506817,186428.60316914055,447562.3259151653,186400.8993521791,447504.1159175896,12,one,NA,2
2D331955,A_2,10.323833121334012,186463.4357921708,447861.29838996194,186463.09677532187,447850.98012470594,21,one,NA,2
4C2A341E,A_2,25.321570829709614,186463.4357921708,447861.29838996194,186439.53208405757,447869.65271146176,18,one,NA,2
78524B34,A_2,24.996253229237475,186463.4357921708,447861.29838996194,186462.61495643324,447836.3156178141,23,one,NA,2
4B2A2D1E,A_2,91.9736181861607,186463.4357921708,447861.29838996194,186420.7445560768,447779.833030434,20,two,568,2
4C1E4B2A,A_2,59.831913445999184,186463.4357921708,447861.29838996194,186404.949242551,447848.68167960696,24,two,657,2
521E521E,A_2,219.28674729229988,186463.4357921708,447861.29838996194,186407.24564785423,447649.3329559409,18,two,453,2
2D331955,A_20,8.961561173195733,186427.7823661508,447537.3431378602,186418.84276873912,447537.97017595975,16,one,NA,2
78524B34,A_20,29.143569566408747,186427.7823661508,447537.3431378602,186410.9167853606,447513.575516362,17,one,NA,2
4C2A341E,A_20,31.24682953132926,186427.7823661508,447537.3431378602,186401.37575663032,447520.6381886117,13,one,NA,2
2D331955,A_21,42.52525418507852,186426.96156590743,447512.3603603511,186385.02912758035,447505.2844957786,15,one,NA,2
4C2A341E,A_21,36.86215175046537,186426.96156590743,447512.3603603511,186395.9111878079,447532.22722350433,11,one,NA,2
78524B34,A_21,27.614720630358516,186426.96156590743,447512.3603603511,186399.58276179095,447508.758433,14,one,NA,2
2D331955,A_22,58.38657929799298,186417.574465291,447987.85394987673,186416.3394045714,447929.4804347595,16,one,NA,3
4C2A341E,A_22,40.470487270696864,186417.574465291,447987.85394987673,186394.12135384508,447954.8719562524,18,one,NA,3
78524B34,A_22,50.6336429390427,186417.574465291,447987.85394987673,186423.96050833585,447937.62463322293,22,one,NA,3
4B2A2D1E,A_22,64.17890901202459,186417.574465291,447987.85394987673,186353.46893783248,447984.7857726915,14,two,224,3
4C1E4B2A,A_22,69.42955309259112,186417.574465291,447987.85394987673,186348.49622390157,447994.8295795388,21,two,392,3
521E521E,A_22,70.31917746690178,186417.574465291,447987.85394987673,186347.64674561177,447995.2634532394,16,two,235,3
78524B34,A_23,26.551229655088207,186416.7536154274,447962.8711732208,186424.88086621923,447937.5943935453,19,one,NA,3
2D331955,A_23,30.13451444302334,186416.7536154274,447962.8711732208,186432.75449826493,447937.3356938022,12,one,NA,3
4C2A341E,A_23,29.590799706744303,186416.7536154274,447962.8711732208,186431.7609735588,447937.3683375118,14,one,NA,3
4B2A2D1E,A_23,42.64712231163277,186416.7536154274,447962.8711732208,186377.44380575675,447979.409489493,17,two,297,3
4C1E4B2A,A_23,15.234985131870236,186416.7536154274,447962.8711732208,186401.54482093785,447963.76411338773,20,two,374,3
521E521E,A_23,52.049284643970545,186416.7536154274,447962.8711732208,186367.53190430725,447979.7930876028,14,two,202,3
78524B34,A_24,6.2024670286829435,186415.93276830897,447937.8883963808,186422.13189011876,447937.6847151867,19,one,NA,3
2D331955,A_24,11.459015261441012,186415.93276830897,447937.8883963808,186422.89002018457,447928.7831409148,15,one,NA,3
4C2A341E,A_24,9.136008413383438,186415.93276830897,447937.8883963808,186416.8159291715,447946.9816178463,13,one,NA,3
4B2A2D1E,A_24,53.226395673226904,186415.93276830897,447937.8883963808,186377.0235143639,447974.20807636017,18,two,279,3
4C1E4B2A,A_24,36.14863954335557,186415.93276830897,447937.8883963808,186396.991152231,447968.6770196237,19,two,415,3
521E521E,A_24,88.76069394279959,186415.93276830897,447937.8883963808,186348.0116429775,447995.0301632674,14,two,261,3
2D331955,A_3,48.184668920673474,186462.61495643324,447836.3156178141,186414.7154865749,447831.08082017896,20,one,NA,2
4C2A341E,A_3,24.99625322929565,186462.61495643324,447836.3156178141,186463.4357921708,447861.298389962,21,one,NA,2
78524B34,A_3,13.12242388397677,186462.61495643324,447836.3156178141,186456.05983595812,447847.6834849908,22,one,NA,2
4B2A2D1E,A_3,48.56052871608953,186462.61495643324,447836.3156178141,186414.51950505556,447829.6109548126,23,two,374,2
4C1E4B2A,A_3,47.95618534920364,186462.61495643324,447836.3156178141,186419.7601847853,447857.8391923371,24,two,481,2
521E521E,A_3,41.850733503012414,186462.61495643324,447836.3156178141,186432.3149838224,447807.44702667213,21,two,389,2
78524B34,A_4,33.913609077378155,186440.91554345653,447937.067550708,186407.02022524437,447938.1812310703,21,one,NA,5
2D331955,A_4,41.418501941785166,186440.91554345653,447937.067550708,186399.51938004725,447938.4276823536,17,one,NA,5
4C2A341E,A_4,34.45504227669374,186440.91554345653,447937.067550708,186407.69883200727,447946.2217857271,16,one,NA,5
4B2A2D1E,A_4,53.74899085436707,186440.91554345653,447937.067550708,186391.74261759015,447958.7695639695,17,two,281,5
4C1E4B2A,A_4,53.40380620276527,186440.91554345653,447937.067550708,186397.3812644409,447967.9986526529,22,two,371,5
521E521E,A_4,74.79604487797317,186440.91554345653,447937.067550708,186376.2247786472,447974.6115685773,14,two,207,5
2D331955,A_5,29.55739279941532,186440.0946992826,447912.0847764017,186455.03959234015,447886.58399914694,19,one,NA,2
78524B34,A_5,29.991720708962976,186440.0946992826,447912.0847764017,186418.5072606717,447932.90509833256,19,one,NA,2
4C2A341E,A_5,60.64683269305777,186440.0946992826,447912.0847764017,186389.00168525937,447879.41151158593,16,one,NA,2
4B2A2D1E,A_5,61.597796771375464,186440.0946992826,447912.0847764017,186393.8568798979,447871.3864640824,16,two,298,2
4C1E4B2A,A_5,66.56977377486444,186440.0946992826,447912.0847764017,186392.067019294,447958.1811616759,17,two,355,2
521E521E,A_5,254.66602799564265,186440.0946992826,447912.0847764017,186382.7893266316,447663.9499741663,14,two,248,2
