tag,cp,error,x_cal,y_cal,x_est,y_est
4C2A341E,A_1,45.11356018540679,186464.25663065462,447886.2811619256,186423.0719973448,447904.6947246373
78524B34,A_1,33.00761190097537,186464.25663065462,447886.2811619256,186463.17271235955,447853.291351915
2D331955,A_1,32.96526342085755,186464.25663065462,447886.2811619256,186463.1741030138,447853.33367755555
2D331955,A_10,91.87486116643286,186435.99051959752,447787.1709018935,186344.38592196073,447780.129040907
4C2A341E,A_10,141.8693696423398,186435.99051959752,447787.1709018935,186308.8721609631,447724.1801014477
78524B34,A_10,91.08624168871458,186435.99051959752,447787.1709018935,186350.56409003364,447755.56348888733
78524B34,A_11,114.4555129042174,186435.16969189732,447762.18812639447,186333.60680584545,447709.4146045205
2D331955,A_11,90.06977237234874,186435.16969189732,447762.18812639447,186377.6438627151,447831.4942795997
4C2A341E,A_11,68.23409432907904,186435.16969189732,447762.18812639447,186369.56545953982,447780.94915850076
4C2A341E,A_12,66.20138535435271,186434.3488669429,447737.2053506968,186376.11190251034,447705.7239371879
78524B34,A_12,68.90809539801766,186434.3488669429,447737.2053506968,186368.0363070638,447755.9395443988
2D331955,A_12,79.12892525203911,186434.3488669429,447737.2053506968,186365.96747938695,447697.3886124142
4C2A341E,A_13,49.93096878942381,186433.52804473395,447712.2225747934,186383.60080037772,447712.83242333564
78524B34,A_13,65.87716652575156,186433.52804473395,447712.2225747934,186385.0437812857,447756.8216472876
2D331955,A_13,65.42115417996166,186433.52804473395,447712.2225747934,186393.75875091806,447764.16803353257
78524B34,A_14,64.11447125657052,186432.70722527136,447687.23979868245,186375.3438401322,447715.87731725315
2D331955,A_14,84.21023635933675,186432.70722527136,447687.23979868245,186349.2583846815,447698.53824600525
4C2A341E,A_14,57.479814256648105,186432.70722527136,447687.23979868245,186376.02635136808,447696.7900646756
2D331955,A_16,75.40344498571487,186431.06559458174,447637.2742458824,186420.23126643075,447562.6532243856
78524B34,A_16,54.99296780920836,186431.06559458174,447637.2742458824,186389.76624632394,447673.58664516895
4C2A341E,A_16,67.25726474561529,186431.06559458174,447637.2742458824,186412.8098913689,447572.54195902904
78524B34,A_17,88.967598743198,186430.24478335585,447612.2914691779,186364.82496777287,447672.58642216085
2D331955,A_17,43.93761933899213,186430.24478335585,447612.2914691779,186397.600135212,447582.88328425016
4C2A341E,A_17,6.47507813305216,186430.24478335585,447612.2914691779,186430.0321605793,447605.8198829439
4C2A341E,A_18,34.64554432063201,186429.4239748753,447587.30869227037,186420.11435347167,447553.93737688434
78524B34,A_18,9.178298568989577,186429.4239748753,447587.30869227037,186429.1225866196,447578.13534338673
2D331955,A_18,34.226350112613495,186429.4239748753,447587.30869227037,186420.1107712686,447554.3737976962
78524B34,A_19,1.8040522240166035,186428.60316914058,447562.32591516525,186428.5439321627,447560.52283574175
2D331955,A_19,55.991123345967,186428.60316914058,447562.32591516525,186401.89765910825,447513.11390822125
4C2A341E,A_19,64.46631129506817,186428.60316914058,447562.32591516525,186400.89935217914,447504.1159175896
2D331955,A_2,10.323833121334012,186463.43579217079,447861.29838996194,186463.09677532187,447850.98012470594
4C2A341E,A_2,25.321570829709614,186463.43579217079,447861.29838996194,186439.53208405757,447869.65271146176
78524B34,A_2,24.996253229237475,186463.43579217079,447861.29838996194,186462.61495643324,447836.3156178141
2D331955,A_20,8.961561173195733,186427.7823661508,447537.3431378602,186418.84276873912,447537.97017595975
78524B34,A_20,29.143569566408747,186427.7823661508,447537.3431378602,186410.9167853606,447513.575516362
4C2A341E,A_20,31.24682953132926,186427.7823661508,447537.3431378602,186401.37575663032,447520.6381886117
2D331955,A_21,42.52525418507852,186426.96156590746,447512.3603603511,186385.02912758035,447505.2844957786
4C2A341E,A_21,36.86215175046537,186426.96156590746,447512.3603603511,186395.9111878079,447532.22722350433
78524B34,A_21,27.614720630358516,186426.96156590746,447512.3603603511,186399.58276179095,447508.758433
2D331955,A_22,58.38657929799298,186417.574465291,447987.85394987673,186416.3394045714,447929.4804347595
4C2A341E,A_22,40.470487270696864,186417.574465291,447987.85394987673,186394.12135384508,447954.87195625243
78524B34,A_22,50.6336429390427,186417.574465291,447987.85394987673,186423.96050833585,447937.62463322293
78524B34,A_23,26.551229655088207,186416.7536154274,447962.8711732208,186424.88086621923,447937.5943935453
2D331955,A_23,30.13451444302334,186416.7536154274,447962.8711732208,186432.75449826493,447937.3356938022
4C2A341E,A_23,29.590799706744303,186416.7536154274,447962.8711732208,186431.7609735588,447937.3683375118
78524B34,A_24,6.2024670286829435,186415.93276830894,447937.8883963808,186422.13189011876,447937.6847151867
2D331955,A_24,11.459015261441012,186415.93276830894,447937.8883963808,186422.89002018454,447928.7831409148
