cp,tag,x_cal,y_cal,x_est,y_est,error
A_1,2D331955,186464.25663065462,447886.2811619256,186404.26988516783,447851.63542365533,69.27291544599457
A_1,4C2A341E,186464.25663065462,447886.2811619256,186422.99725036407,447874.2196941495,42.98622415231708
A_1,78524B34,186464.25663065462,447886.2811619256,186408.77093842623,447840.9879096846,71.625000807186
A_10,2D331955,186435.99051959752,447787.1709018935,186363.68950716808,447790.1605247892,72.36279598923747
A_10,4C2A341E,186435.99051959752,447787.1709018935,186394.34121800654,447811.5229940884,48.24612644850432
A_10,78524B34,186435.99051959752,447787.1709018935,186331.16251875856,447787.85268253356,104.83021789891124
A_11,2D331955,186435.16969189732,447762.18812639447,186365.6599017014,447817.0865078625,88.57450660821128
A_11,4C2A341E,186435.16969189732,447762.18812639447,186343.11773096968,447807.56906119734,102.6303695511521
A_11,78524B34,186435.16969189732,447762.18812639447,186304.70558940846,447704.9743401006,142.45806182979956
A_12,2D331955,186434.3488669429,447737.2053506968,186381.59493009653,447710.9203492704,58.939622943962036
A_12,4C2A341E,186434.3488669429,447737.2053506968,186372.44899044427,447720.09987861273,64.21987142437447
A_12,78524B34,186434.3488669429,447737.2053506968,186330.38110331615,447756.5175838271,105.74619719888078
A_13,2D331955,186433.52804473395,447712.2225747934,186357.62438116234,447772.1828343666,96.72951396384616
A_13,4C2A341E,186433.52804473395,447712.2225747934,186380.49850476356,447711.5557219371,53.03373268216309
A_13,78524B34,186433.52804473395,447712.2225747934,186340.65184657063,447751.8721372132,100.98552364251425
A_14,2D331955,186432.70722527136,447687.23979868245,186365.02550183237,447695.47413832473,68.18078935459928
A_14,4C2A341E,186432.70722527136,447687.23979868245,186393.16899659266,447678.1975274947,40.55902113317755
A_14,78524B34,186432.70722527136,447687.23979868245,186345.17612327935,447699.2450823681,88.350555472545
A_16,2D331955,186431.06559458174,447637.27424588485,186355.6605310603,447619.91237281554,77.37802169315835
A_16,4C2A341E,186431.06559458174,447637.27424588485,186369.24907277874,447581.32456637773,83.37654948947251
A_16,78524B34,186431.06559458174,447637.27424588485,186331.7821044188,447706.9491216519,121.29220804358465
A_17,2D331955,186430.24478335585,447612.2914691779,186396.36989303335,447621.75470297044,35.171877802794235
A_17,4C2A341E,186430.24478335585,447612.2914691779,186384.41673661405,447642.8601166167,55.08767624804237
A_17,78524B34,186430.24478335585,447612.2914691779,186383.21925242757,447640.7416607421,54.96193190861581
A_18,2D331955,186429.4239748753,447587.30869227037,186373.21724468737,447623.81676889077,67.02265420691691
A_18,4C2A341E,186429.4239748753,447587.30869227037,186384.35875284107,447631.7508506128,63.29280903175662
A_18,78524B34,186429.4239748753,447587.30869227037,186338.10318375935,447633.11216353264,102.16381389571379
A_19,2D331955,186428.60316914058,447562.32591516525,186369.1400428139,447576.1625907546,61.05175659969382
A_19,4C2A341E,186428.60316914058,447562.32591516525,186364.97031392076,447524.77746148675,73.88522610828998
A_19,78524B34,186428.60316914058,447562.32591516525,186372.2175048897,447586.6067907323,61.391400467128896
A_2,2D331955,186463.43579217073,447861.29838996194,186429.31999102747,447817.660607117,55.390829378779046
A_2,4C2A341E,186463.43579217073,447861.29838996194,186387.35124140736,447822.7183159681,85.30698080598167
