cp,tag,x_cal,y_cal,x_est,y_est,error
A_1,2D331955,186464.2566306546,447886.2811619288,186415.74789616177,447852.9357122497,58.86438937416908
A_1,4C2A341E,186464.2566306546,447886.2811619288,186430.5111843498,447898.1667299824,35.7773933408672
A_1,78524B34,186464.2566306546,447886.2811619288,186403.85780615013,447853.59787381656,68.6747065763463
A_10,2D331955,186435.99051959752,447787.170901896,186359.52038173078,447776.59463841614,77.19805266037419
A_10,4C2A341E,186435.99051959752,447787.170901896,186386.95329816628,447798.63749497617,50.360022265302575
A_10,78524B34,186435.99051959752,447787.170901896,186339.65453558063,447759.7577617768,100.16038172699804
A_11,2D331955,186435.16969189732,447762.18812639726,186372.40681244605,447838.9291077053,99.13807164322132
A_11,4C2A341E,186435.16969189732,447762.18812639726,186338.62702736966,447799.08765500673,103.35405790631354
A_11,78524B34,186435.16969189732,447762.18812639726,186328.21969082282,447732.75908853847,110.92506929963486
A_12,2D331955,186434.3488669429,447737.2053506968,186401.52705131136,447688.8061136066,58.47869468672444
A_12,4C2A341E,186434.3488669429,447737.2053506968,186408.03560068345,447718.68851137016,32.1754769955218
A_12,78524B34,186434.3488669429,447737.2053506968,186350.74590719386,447737.0869556142,83.60304358211486
A_13,2D331955,186433.52804473395,447712.2225747934,186350.738117847,447788.83668391255,112.8002380762916
A_13,4C2A341E,186433.52804473395,447712.2225747934,186408.61602705246,447691.46135187877,32.42895314180445
A_13,78524B34,186433.52804473395,447712.2225747934,186342.18437125237,447739.735564901,95.3972290466144
A_14,2D331955,186432.70722527133,447687.23979868565,186363.17034767562,447676.7738365871,70.32008040672548
A_14,4C2A341E,186432.70722527133,447687.23979868565,186412.8990889691,447690.2764004497,20.03954126323008
A_14,78524B34,186432.70722527133,447687.23979868565,186333.58881795625,447725.02698106633,106.07699949069404
A_16,2D331955,186431.0655945817,447637.27424588805,186355.60205784347,447609.93543921644,80.26304085487988
A_16,4C2A341E,186431.0655945817,447637.27424588805,186401.4936149735,447577.0045301182,67.13375169709964
A_16,78524B34,186431.0655945817,447637.27424588805,186366.3792912663,447700.62909246626,90.54366030575005
A_17,2D331955,186430.24478335585,447612.2914691779,186404.68642538245,447615.5710868818,25.76791715643316
A_17,4C2A341E,186430.24478335585,447612.2914691779,186400.47993107897,447612.9903052266,29.773054980768748
A_17,78524B34,186430.24478335585,447612.2914691779,186402.84368910678,447627.06970828405,31.132239192288097
A_18,2D331955,186429.4239748753,447587.30869227037,186392.54372753392,447613.9421355942,45.49167997827219
A_18,4C2A341E,186429.4239748753,447587.30869227037,186400.18161569105,447621.62716683774,45.08739588058586
A_18,78524B34,186429.4239748753,447587.30869227037,186362.76664604465,447630.50719119364,79.43116388459836
A_19,2D331955,186428.60316914058,447562.32591516525,186373.64606753425,447589.83956730843,61.459613334484764
A_19,4C2A341E,186428.60316914058,447562.32591516525,186394.57510908996,447523.1252177176,51.909570901618274
A_19,78524B34,186428.60316914058,447562.32591516525,186393.29165648713,447566.9556666515,35.61372663313072
A_2,2D331955,186463.43579217073,447861.29838996474,186468.63159613812,447839.3573358466,22.547865413015366
A_2,4C2A341E,186463.43579217073,447861.29838996474,186426.68618154357,447855.7938948363,37.15956603442749
A_2,78524B34,186463.43579217073,447861.29838996474,186452.63297071573,447853.1625676568,13.52377743144557
A_20,2D331955,186427.78236615076,447537.3431378627,186390.06017689695,447553.03696960036,40.85657739838931
A_20,4C2A341E,186427.78236615076,447537.3431378627,186395.01095041636,447575.76352435834,50.498433517408955
A_20,78524B34,186427.78236615076,447537.3431378627,186425.28417348853,447567.45805616776,30.218359834690315
A_21,2D331955,186426.96156590746,447512.3603603511,186385.67137148313,447533.1557055108,46.231229011469985
A_21,4C2A341E,186426.96156590746,447512.3603603511,186388.80603718935,447552.15799619164,55.13343985509214
A_21,78524B34,186426.96156590746,447512.3603603511,186384.45540009276,447531.55530009593,46.63925218177023
A_22,2D331955,186417.574465291,447987.85394987673,186382.02903998081,447932.0699185607,66.14631819196097
A_22,4C2A341E,186417.574465291,447987.85394987673,186366.16905511604,447934.39030610526,74.16790006855072
A_22,78524B34,186417.574465291,447987.85394987673,186359.1596987917,447924.7875652278,85.96309567401259
A_23,2D331955,186416.7536154274,447962.87117322325,186409.95262482043,447961.4966455254,6.938501252315827
A_23,4C2A341E,186416.7536154274,447962.87117322325,186385.3012875544,447949.4339772975,34.20244381586986
A_23,78524B34,186416.7536154274,447962.87117322325,186369.95640134902,447952.90472050774,47.84672846945562
A_24,2D331955,186415.93276830882,447937.8883963808,186407.27360906923,447937.94861319446,8.659368614462602
A_24,4C2A341E,186415.93276830882,447937.8883963808,186426.1000816817,447961.28551113216,25.51076713683422
A_24,78524B34,186415.93276830882,447937.8883963808,186404.01386246458,447933.0338208146,12.869623943681315
A_3,2D331955,186462.61495643327,447836.3156178172,186408.427457869,447802.7994915447,63.71511375621951
A_3,4C2A341E,186462.61495643327,447836.3156178172,186435.67182691873,447864.39978380984,38.918538096116635
A_3,78524B34,186462.61495643327,447836.3156178172,186420.6514306333,447828.9879545696,42.5984993425379
A_4,2D331955,186440.9155434565,447937.0675507104,186404.08349194046,447944.7874569396,37.63239257697899
A_4,4C2A341E,186440.9155434565,447937.0675507104,186388.6228339954,447943.7056061957,52.71234431713832
A_4,78524B34,186440.9155434565,447937.0675507104,186421.72268522208,447934.9080613352,19.313963900979548
A_5,2D331955,186440.09469928264,447912.08477639884,186459.70781455195,447909.9597297897,19.727901907156028
A_5,4C2A341E,186440.09469928264,447912.08477639884,186435.0575422257,447891.00338376744,21.67482563933439
A_5,78524B34,186440.09469928264,447912.08477639884,186436.36988809798,447942.67561947927,30.816779499691798
A_6,2D331955,186439.27385785393,447887.1020019032,186386.8973639426,447864.492077596,57.04827597410235
A_6,4C2A341E,186439.27385785393,447887.1020019032,186440.0810209872,447898.34387041355,11.270808308561296
A_6,78524B34,186439.27385785393,447887.1020019032,186424.34002477297,447865.52964592114,26.237109465514038
A_7,2D331955,186438.45301917172,447862.11922719807,186402.66098269817,447853.3249408928,36.856605195576776
A_7,4C2A341E,186438.45301917172,447862.11922719807,186426.67625254375,447860.2313582957,11.927123760660718
A_7,78524B34,186438.45301917172,447862.11922719807,186410.0234107947,447843.97447468713,33.72646848031676
A_8,2D331955,186437.6321832343,447837.1364522957,186403.37183473783,447826.2337201031,35.95331762664805
A_8,4C2A341E,186437.6321832343,447837.1364522957,186403.6742868619,447851.1790962983,36.746898870809986
A_8,78524B34,186437.6321832343,447837.1364522957,186379.49575585566,447817.1962371009,61.46101504502422
A_9,2D331955,186436.81135004296,447812.1536771912,186385.19159743056,447810.4036649437,51.64940854096822
A_9,4C2A341E,186436.81135004296,447812.1536771912,186431.58834672807,447815.05222129595,5.973384430513697
A_9,78524B34,186436.81135004296,447812.1536771912,186385.14506808703,447812.53459655785,51.66768613663029
