cp,tag,x_cal,y_cal,x_est,y_est,error
A_1,2D331955,186464.2566306546,447886.2811619288,186435.5625,447829.125,63.95451493406849
A_1,4C2A341E,186464.2566306546,447886.2811619288,186446.953125,447902.28125,23.567225679431015
A_1,78524B34,186464.2566306546,447886.2811619288,186447.046875,447867.6875,25.335744583742112
A_10,2D331955,186435.99051959752,447787.170901896,186348.875,447730.96875,103.67157581752522
A_10,4C2A341E,186435.99051959752,447787.170901896,186412.140625,447813.03125,35.17918527156891
A_10,78524B34,186435.99051959752,447787.170901896,186285.6875,447712.5,167.8295006549706
A_11,2D331955,186435.16969189732,447762.18812639726,186347.59375,447779.875,89.34411618591123
A_11,4C2A341E,186435.16969189732,447762.18812639726,186371.703125,447796.25,72.02927423666473
A_11,78524B34,186435.16969189732,447762.18812639726,186306.46875,447686.625,149.24382237193316
A_12,2D331955,186434.3488669429,447737.2053506968,186409.015625,447659.96875,81.28508863583285
A_12,4C2A341E,186434.3488669429,447737.2053506968,186401.265625,447746.40625,34.33886202889355
A_12,78524B34,186434.3488669429,447737.2053506968,186383.5625,447741.34375,50.95469964635938
A_13,2D331955,186433.52804473395,447712.2225747934,186370.234375,447818.6875,123.85826144282883
A_13,4C2A341E,186433.52804473395,447712.2225747934,186379.421875,447713.09375,54.11318277018312
A_13,78524B34,186433.52804473395,447712.2225747934,186365.453125,447817.53125,125.39582038710742
A_14,2D331955,186432.70722527133,447687.23979868565,186360.8125,447703.65625,73.74517879560533
A_14,4C2A341E,186432.70722527133,447687.23979868565,186413.609375,447629.90625,60.43065190676036
A_14,78524B34,186432.70722527133,447687.23979868565,186342.9375,447738.1875,103.21953228195402
A_16,2D331955,186431.0655945817,447637.27424588805,186354.96875,447679.875,87.20982746342226
A_16,4C2A341E,186431.0655945817,447637.27424588805,186396.59375,447537.8125,105.26607698572872
A_16,78524B34,186431.0655945817,447637.27424588805,186332.28125,447697.125,115.50090693240142
A_17,2D331955,186430.24478335585,447612.2914691779,186406.28125,447617.0625,24.43386310027232
A_17,4C2A341E,186430.24478335585,447612.2914691779,186363.265625,447651.09375,77.40687728527712
A_17,78524B34,186430.24478335585,447612.2914691779,186414.875,447632.96875,25.763931815681094
A_18,2D331955,186429.4239748753,447587.30869227037,186359.796875,447599.03125,70.60702087448495
A_18,4C2A341E,186429.4239748753,447587.30869227037,186388.859375,447653,77.20644192211466
A_18,78524B34,186429.4239748753,447587.30869227037,186402.8125,447620.53125,42.56652366752212
A_19,2D331955,186428.60316914058,447562.32591516525,186333.640625,447555.03125,95.24230640594946
A_19,4C2A341E,186428.60316914058,447562.32591516525,186371.6875,447476.34375,103.11317141967655
A_19,78524B34,186428.60316914058,447562.32591516525,186371.65625,447591.21875,63.85724316310737
A_2,2D331955,186463.43579217073,447861.29838996474,186479.078125,447835.125,30.491456485185314
A_2,4C2A341E,186463.43579217073,447861.29838996474,186413.21875,447898.28125,62.36572184112375
A_2,78524B34,186463.43579217073,447861.29838996474,186467.078125,447846.46875,15.27038997285024
A_20,2D331955,186427.78236615076,447537.3431378627,186367.921875,447550.875,61.37091895770505
A_20,4C2A341E,186427.78236615076,447537.3431378627,186386.15625,447626.28125,98.19735911085397
A_20,78524B34,186427.78236615076,447537.3431378627,186399.734375,447573.15625,45.4892163985365
A_21,2D331955,186426.96156590746,447512.3603603511,186379.359375,447528.28125,50.194056484836466
A_21,4C2A341E,186426.96156590746,447512.3603603511,186397.421875,447515.375,29.693120265831645
A_21,78524B34,186426.96156590746,447512.3603603511,186365.671875,447554.78125,74.53829948514009
A_22,2D331955,186417.574465291,447987.85394987673,186427.9375,447884.9375,103.43687999746801
A_22,4C2A341E,186417.574465291,447987.85394987673,186354.4375,447933.71875,83.16787992879247
A_22,78524B34,186417.574465291,447987.85394987673,186412.921875,447910.625,77.36896855638624
A_23,2D331955,186416.7536154274,447962.87117322325,186434.453125,447970.78125,19.38664369415741
A_23,4C2A341E,186416.7536154274,447962.87117322325,186378.75,447910.6875,64.55548417156679
A_23,78524B34,186416.7536154274,447962.87117322325,186351.75,447996.90625,73.37476725574282
A_24,2D331955,186415.93276830882,447937.8883963808,186400.203125,447886.375,53.86141183918232
A_24,4C2A341E,186415.93276830882,447937.8883963808,186415.5625,447929.65625,8.240469201188628
A_24,78524B34,186415.93276830882,447937.8883963808,186377.46875,447858.21875,88.46882648089021
A_3,2D331955,186462.61495643327,447836.3156178172,186434.21875,447746.59375,94.10822548753114
A_3,4C2A341E,186462.61495643327,447836.3156178172,186477.984375,447880.15625,46.45664707299627
A_3,78524B34,186462.61495643327,447836.3156178172,186394.0625,447833.96875,68.59261674252839
A_4,2D331955,186440.9155434565,447937.0675507104,186412,447985.8125,56.67608609131712
A_4,4C2A341E,186440.9155434565,447937.0675507104,186415.078125,447957.9375,33.2133553837436
A_4,78524B34,186440.9155434565,447937.0675507104,186382.703125,447938.46875,58.229279765460404
A_5,2D331955,186440.09469928264,447912.08477639884,186403.171875,447894.03125,41.10017966432854
A_5,4C2A341E,186440.09469928264,447912.08477639884,186367.625,447875.75,81.0683248258499
A_5,78524B34,186440.09469928264,447912.08477639884,186394.59375,447933.40625,50.248797220887326
A_6,2D331955,186439.27385785393,447887.1020019032,186376.46875,447906.25,65.65917608118254
A_6,4C2A341E,186439.27385785393,447887.1020019032,186447.734375,447895.65625,12.031438437737684
A_6,78524B34,186439.27385785393,447887.1020019032,186463.953125,447837.15625,55.71036133467723
A_7,2D331955,186438.45301917172,447862.11922719807,186325.796875,447880.125,114.08599683499375
A_7,4C2A341E,186438.45301917172,447862.11922719807,186402.078125,447811.15625,62.612762044927834
A_7,78524B34,186438.45301917172,447862.11922719807,186419.609375,447810.3125,55.12730637937565
A_8,2D331955,186437.6321832343,447837.1364522957,186385.296875,447756.3125,96.28860655693582
A_8,4C2A341E,186437.6321832343,447837.1364522957,186373.28125,447839.625,64.39903320548545
A_8,78524B34,186437.6321832343,447837.1364522957,186406.421875,447786.625,59.37583812545773
A_9,2D331955,186436.81135004296,447812.1536771912,186374.5625,447800.3125,63.36507562485739
A_9,4C2A341E,186436.81135004296,447812.1536771912,186423.734375,447845.03125,35.382793418180285
A_9,78524B34,186436.81135004296,447812.1536771912,186366.328125,447714.96875,120.05330101921896
B_1,2D1E4C2A,186415.1119239354,447912.9056193213,186374.671875,447869.25,59.50807219378312
B_1,2D2D5555,186415.1119239354,447912.9056193213,186400.96875,447870.6875,44.5241391605944
B_1,521E521E,186415.1119239354,447912.9056193213,186424.765625,447876.90625,37.27128299072146
B_10,2D1E4C2A,186407.7244481264,447688.060616895,186347.296875,447678.375,61.19887881801109
B_10,2D2D5555,186407.7244481264,447688.060616895,186360.390625,447647.28125,62.477576586447775
B_10,521E521E,186407.7244481264,447688.060616895,186405.03125,447746.5625,58.56384245404396
B_11,2D1E4C2A,186406.90363120797,447663.07783785043,186394.984375,447613.0625,51.41597698035276
B_11,2D2D5555,186406.90363120797,447663.07783785043,186387.109375,447538.5625,126.0788718970557
B_11,521E521E,186406.90363120797,447663.07783785043,186399.765625,447587.34375,76.0697258780528
B_14,2D1E4C2A,186404.44119692655,447588.1294994996,186385.3125,447573.625,24.00598991590394
B_14,2D2D5555,186404.44119692655,447588.1294994996,186404.328125,447520.75,67.37959437456509
B_14,521E521E,186404.44119692655,447588.1294994996,186374.96875,447609.1875,36.22243107401737
B_15,2D1E4C2A,186403.62039098973,447563.1467196483,186352.96875,447520.5,66.21428419695883
B_15,2D2D5555,186403.62039098973,447563.1467196483,186393.046875,447630,67.68426947352182
B_15,521E521E,186403.62039098973,447563.1467196483,186409.53125,447458.4375,104.87592161025863
B_16,2D1E4C2A,186402.79958779932,447538.1639395943,186423.453125,447519.71875,27.691038587764726
B_16,2D2D5555,186402.79958779932,447538.1639395943,186384.03125,447600.40625,65.01042768964166
B_16,521E521E,186402.79958779932,447538.1639395943,186373.4375,447610.1875,77.7786953699403
B_17,2D1E4C2A,186401.9787873533,447513.18115933624,186361.71875,447547.53125,52.9225787003733
B_17,2D2D5555,186401.9787873533,447513.18115933624,186386.625,447527.40625,20.930647158709363
B_17,521E521E,186401.9787873533,447513.18115933624,186374.609375,447538.09375,37.00975420270643
B_18,2D1E4C2A,186401.15798965318,447488.1983788831,186378.421875,447623.34375,137.04452650084048
B_18,2D2D5555,186401.15798965318,447488.1983788831,186346,447594.25,119.53806993630356
B_18,521E521E,186401.15798965318,447488.1983788831,186345.53125,447535.625,73.10005851574718
B_19,2D1E4C2A,186392.59168779448,447988.6748012422,186373.375,447969.34375,27.25748763035177
B_19,2D2D5555,186392.59168779448,447988.6748012422,186363.75,447968.71875,35.07259522783176
B_19,521E521E,186392.59168779448,447988.6748012422,186355.359375,447946.15625,56.516124387301105
B_2,2D1E4C2A,186414.2910823079,447887.92284207477,186419.796875,447882.59375,7.662439266299784
B_2,2D2D5555,186414.2910823079,447887.92284207477,186403.109375,447889.125,11.246144316909003
B_2,521E521E,186414.2910823079,447887.92284207477,186382.3125,447878.59375,33.311584852159655
B_20,2D1E4C2A,186391.77083773172,447963.6920218405,186359.421875,447983.28125,37.81789589207202
B_20,2D2D5555,186391.77083773172,447963.6920218405,186384.921875,447888.59375,75.40993783267436
B_20,521E521E,186391.77083773172,447963.6920218405,186365.421875,447918.5,52.312395042363526
B_21,2D1E4C2A,186390.94999041484,447938.7092422332,186417.46875,447929.5625,28.051871656201165
B_21,2D2D5555,186390.94999041484,447938.7092422332,186382.671875,447948.84375,13.085696102879135
B_21,521E521E,186390.94999041484,447938.7092422332,186413.078125,447942.90625,22.52263782094844
B_22,2D1E4C2A,186390.1291458436,447913.7264624414,186381.71875,447908.75,9.772406902923674
B_22,2D2D5555,186390.1291458436,447913.7264624414,186396.75,447901.34375,14.041626585491718
B_22,521E521E,186390.1291458436,447913.7264624414,186396.296875,447903.6875,11.782259963449079
B_23,2D1E4C2A,186389.308304017,447888.7436824548,186439.203125,447824.65625,81.22002314438659
B_23,2D2D5555,186389.308304017,447888.7436824548,186410.375,447840.25,52.87194830595518
B_23,521E521E,186389.308304017,447888.7436824548,186389.40625,447929.875,41.13143416438557
B_24,2D1E4C2A,186388.48746493558,447863.7609022588,186378.734375,447830.78125,34.39157202575724
B_24,2D2D5555,186388.48746493558,447863.7609022588,186403.734375,447904.9375,43.9087743856871
B_24,521E521E,186388.48746493558,447863.7609022588,186394.03125,447896.28125,32.98949181253129
B_3,2D1E4C2A,186413.47024342607,447862.9400646252,186333.109375,447809.625,96.43840153268027
B_3,2D2D5555,186413.47024342607,447862.9400646252,186399.296875,447859.5,14.584869460041896
B_3,521E521E,186413.47024342607,447862.9400646252,186404.78125,447854.40625,12.178858682779238
