cp,dist_center
A_1,367.63145158435185
A_2,361.3642239064129
A_3,356.74265296966144
A_4,361.984664521681
A_5,352.0853809444301
A_6,343.7227568876466
A_7,337.0112041607747
A_8,332.05085432276445
A_9,328.9209448837528
A_10,327.67393260753096
A_11,328.33127209720055
A_12,330.8816138190506
A_13,335.2817628362778
A_14,341.4602152794875
A_15,349.3226255838625
A_16,358.7582958914149
A_17,369.6467678724746
A_18,381.86378608941817
A_19,395.2861865174485
A_20,409.79554338352375
A_21,425.28061971421084
A_22,364.9149359811734
A_23,351.55956626104984
A_24,339.52223308471247
B_1,328.9476628335087
B_2,319.98091038545635
B_3,312.760293416695
B_4,307.4088796147806
B_5,304.02538938770715
B_6,302.6758257927838
B_7,303.38733270541877
B_8,306.1455401818571
B_9,310.895979229496
B_10,317.5492529162726
B_11,325.988874279432
B_12,336.080294396121
B_13,347.67971239339244
B_14,360.64165113730076
B_15,374.8247839469281
B_16,390.09593280229853
B_17,406.3324438400864
B_18,423.42327881437836
B_19,344.4638731648519
B_20,330.2825730194292
B_21,317.4394370037768
B_22,306.1029472143088
B_23,296.446002540983
B_24,288.6372300105374
C_1,282.8297521028091
C_2,279.14850313368476
C_3,277.6780598619198
C_4,278.4534486337231
C_5,281.45610880277707
C_6,286.61604858897175
C_7,293.8196341896993
C_8,302.9211045187927
C_9,313.75534049874426
C_10,326.14970767598237
C_11,339.9335963742447
C_12,354.94516206273994
C_13,371.0354244485107
C_14,388.0702311771893
C_15,405.9306867593761
C_16,424.51259178069677
C_17,324.6502877265944
C_18,309.56263897529544
C_19,295.8213068336896
C_20,283.6220437536983
C_21,273.17152456079043
C_22,264.67697284932234
C_23,258.3314113374796
C_24,254.29576522357925
D_1,252.68073598489815
D_2,253.53258659401482
D_3,256.82677156389093
D_4,262.47134837775536
D_5,270.31912038382734
D_6,280.1850191820049
D_7,291.8644601530797
D_8,305.1492769580156
D_9,319.8394899832318
D_10,335.7506775604813
D_11,352.71764289527846
D_12,370.5954043575986
D_13,389.2584897728774
D_14,408.59930247560914
D_15,428.5260880241801
D_16,322.81425093450304
D_17,305.59819818338985
D_18,289.5193894365792
D_19,274.7775372637481
D_20,261.5987635925157
D_21,250.23015653634275
D_22,240.92809999326258
D_23,233.9392388909807
D_24,229.4750217784838
E_1,227.6839997602352
E_2,228.62900488266936
E_3,232.2766454061549
E_4,238.5029520307658
E_5,247.1130839388871
E_6,257.86836638309643
E_7,270.5130542305064
E_8,284.79559447854126
E_9,300.4825265483205
E_10,317.3656674711536
E_11,335.2643509497656
E_12,354.0245798579721
E_13,373.51656090405356
E_14,393.63160365635224
E_15,414.2789610014729
E_16,305.6983644261984
E_17,287.4590547237539
E_18,270.30339669868886
E_19,254.45067182979156
E_20,240.15903589275808
E_21,227.7225958248778
E_22,217.4598785409147
E_23,209.6902880491734
E_24,204.6979116379006
F_1,202.68806860785222
F_2,203.74903995703778
F_3,207.83380237713138
F_4,214.76989439014685
F_5,224.29294608694093
F_6,236.0901179430148
F_7,249.839472295982
F_8,265.2375916893205
F_9,282.014535388022
F_10,299.9390209704508
F_11,318.8175566492953
F_12,338.49055016396136
F_13,358.8273549799586
F_14,379.721330461274
F_15,401.0854110223825
F_16,289.7308050983054
F_17,270.4166369694007
F_18,252.10389857362378
F_19,235.02679380251357
F_20,219.47394362308037
F_21,205.79122930464086
F_22,194.37399050500773
F_23,185.6406914211823
F_24,179.98245591807668
G_1,177.69328227351986
G_2,178.90254523576337
G_3,183.5411093445305
G_4,191.35975790689614
G_5,201.9895419899223
G_6,215.01393721975526
G_7,230.0265448341206
G_8,246.66460924682494
G_9,264.6217065597697
G_10,283.64743204820536
G_11,303.54090965340816
G_12,324.14240999907315
G_13,345.32523813001825
G_14,366.9887439866003
G_15,389.0526395569866
G_16,296.23499237263997
G_17,275.1115934140697
G_18,254.6911992191498
G_19,235.15702219233955
G_20,216.74880210239127
G_21,199.7780301691709
G_22,184.64148901590653
G_23,171.82461288556055
G_24,161.8793245600076
H_1,155.35808265928864
H_2,152.70020292859775
H_3,154.10571080037516
H_4,159.46720110587734
H_5,168.40726336894312
H_6,180.3946354025903
H_7,194.8677567207222
H_8,211.31649423167434
H_9,229.31611121889367
H_10,248.5298714260677
H_11,268.69744158637803
H_12,289.6196354603232
H_13,311.1442613508715
H_14,333.15457298167314
H_15,355.56038533761824
H_16,284.1612572390229
H_17,262.0664767605491
H_18,240.541173952361
H_19,219.7527576508375
H_20,199.93121972807864
H_21,181.39380019185987
H_22,164.5749946869241
H_23,150.05381369207714
H_24,138.55455651183505
I_1,130.87621348677084
I_2,127.70983276022997
I_3,129.3870917457294
I_4,135.7285439298917
I_5,146.1282168677972
I_6,159.79572551122618
I_7,175.97128180106668
I_8,194.0286322780941
I_9,213.49081542957128
I_10,234.0075776538861
I_11,255.32482160430075
I_12,277.2579713035812
I_13,299.67182180321834
I_14,322.4661515630001
I_15,345.56567687270444
I_16,273.84314766579496
I_17,250.84116019911164
I_18,228.25973314509176
I_19,206.23705754528729
I_20,184.97281430520636
I_21,164.76091817651627
I_22,146.0389615282009
I_23,129.4549976317585
I_24,115.9302140895213
J_1,106.63504426618454
J_2,102.72414902384426
J_3,104.80204635176717
J_4,112.53749173685303
J_5,124.8835664686497
J_6,140.63116048909092
J_7,158.77134951767113
J_8,178.57648097000512
J_9,199.55144118808542
J_10,221.36394423521656
J_11,243.78928182992502
J_12,266.67289338133196
J_13,289.9062782864867
J_14,313.4116595102857
J_15,337.13214982633275
J_16,265.4854401570926
J_17,241.68933998354618
J_18,218.16268055559453
J_19,195.00300846938467
J_20,172.35832280480525
J_21,150.46132249287237
J_22,129.69127840794798
J_23,110.6844425405642
J_24,94.51065520729622
K_1,82.84613494420373
K_2,77.74767007344138
K_3,80.47309071304798
K_4,90.31686695170157
K_5,105.30125631814643
K_6,123.57011252884196
K_7,143.87769402489195
K_8,165.47510073390677
K_9,187.91813933722074
K_10,210.93706459320202
K_11,234.36224811550812
K_12,258.0830902474733
K_13,282.0249981793547
K_14,306.136109804366
K_15,283.8023083360922
K_16,259.27778219393406
K_17,234.853542589052
K_18,210.56449035283617
K_19,186.463462162343
K_20,162.63407038262662
K_21,139.21587185200104
K_22,116.45719000530977
K_23,94.83404046525888
K_24,75.33069333087938
L_1,60.04940869109315
L_2,52.79346182112145
L_3,56.73065959258771
L_4,69.99704182874922
L_5,88.49183009003183
L_6,109.59937098135319
L_7,132.0728596166225
L_8,155.32050210092797
L_9,179.04099111359923
L_10,203.0686943528046
L_11,227.30620923125215
L_12,251.69292973948566
L_13,276.18933543369013
L_14,300.76862724665534
L_15,280.24310807863105
L_16,255.37701101264557
L_17,230.53987915326357
L_18,205.7422027800455
L_19,181.0001992596886
L_20,156.34030273484152
L_21,131.80860512532604
L_22,107.49291378076764
L_23,83.58196360484091
L_24,60.55710335331264
M_1,39.979756039699346
M_2,27.921300474785713
M_3,34.79679794049475
M_4,53.77764660230656
M_5,76.31024440234776
M_6,100.02235513920988
M_7,124.24045096241744
M_8,148.71754362474186
M_9,173.3439526156191
M_10,198.06398975453908
M_11,222.84649910326527
M_12,247.67272818997347
M_13,272.5307293085706
M_14,278.8882375319751
M_15,253.8894782401301
M_16,228.8909899619259
M_17,203.8928723989548
M_18,178.89528093800135
M_19,153.89847194763155
M_20,128.90290064890505
M_21,103.909460218163
M_22,78.92017517297688
M_23,53.94082104888733
M_24,28.99707403269318
N_1,4.695575510080499
N_2,21.290057682331522
N_3,46.20048358699008
N_4,71.173750856376
N_5,96.16091168932016
N_6,121.15337000223387
N_7,146.14840809897987
N_8,171.1448956807213
N_9,196.14227857183081
N_10,221.14025316547975
N_11,246.13863918168144
N_12,271.1373228146093
N_13,304.69637397626195
N_14,279.76972395303636
N_15,254.85744362703682
N_16,229.96420307469225
N_17,205.0969351851771
N_18,180.26638884909278
N_19,155.4901574932527
N_20,130.7991101064273
N_21,106.25264858180286
N_22,81.98075053623127
N_23,58.327194207034474
N_24,36.51410291799883
O_1,22.68254479853805
O_2,30.752495272223598
O_3,51.25362516351182
O_4,74.5530161607685
O_5,98.68824827274756
O_6,123.16894280557827
O_7,147.82356578069923
O_8,172.57759045166705
O_9,197.39362414630384
O_10,222.25089647093986
O_11,247.13696426754134
O_12,272.04392519453967
O_13,307.5424031306873
O_14,282.8666609085604
O_15,258.2532980923843
O_16,233.72202314637002
O_17,209.30170145853648
O_18,185.03626768340828
O_19,160.99577163698257
O_20,137.2984217455779
O_21,114.15811289257888
O_22,91.99615680276241
O_23,71.72524656108921
O_24,55.459256401169114
P_1,47.50733888235423
P_2,51.84752042750259
P_3,66.10131240536113
P_4,85.44355814577983
P_5,107.15325359628316
P_6,130.0501360334722
P_7,153.60421872055727
P_8,177.55414424005704
P_9,201.75899549325044
P_10,226.13692840583286
P_11,250.63744436428152
P_12,312.36961941076385
P_13,288.10761402479335
P_14,263.9833619468138
P_15,240.0384000841703
P_16,216.3322713840042
P_17,192.95302477217592
P_18,170.03554891216254
P_19,147.79481053545553
P_20,126.58800949589347
P_21,107.03150132667749
P_22,90.20510186952534
P_23,77.89851429864159
P_24,72.4527201485511
Q_1,75.3698532832507
Q_2,85.80112418358738
Q_3,101.45467479494572
Q_4,120.30905686703969
Q_5,141.0868076468923
Q_6,163.05430205112555
Q_7,185.78999851245698
Q_8,209.0433966210059
Q_9,232.65932132639907
Q_10,256.53767350350324
Q_11,319.0881203457804
Q_12,295.3784803769365
Q_13,271.9001007688952
Q_14,248.71848126843147
Q_15,225.92498987459697
Q_16,203.64999184344492
Q_17,182.08387436675378
Q_18,161.51085235883846
Q_19,142.36212121814395
Q_20,125.29242468912935
