cp,habitat
A_1,4
A_2,4
A_3,4
A_4,1
A_5,4
A_6,4
A_8,4
A_10,5
A_11,5
A_12,4
A_13,4
A_14,4
A_16,4
A_17,4
A_18,4
A_19,4
A_20,4
A_21,4
A_22,3
A_23,3
A_24,3
B_1,4
B_2,4
B_3,4
B_4,4
B_6,3
B_7,3
B_9,3
B_10,4
B_11,4
B_14,3
B_16,3
B_18,3
B_19,3
B_20,3
B_21,4
B_22,4
B_24,4
C_1,5
C_2,5
C_3,5
C_4,5
C_5,5
C_6,5
C_7,5
C_8,5
C_13,5
C_14,4
C_15,4
C_16,4
C_17,1
C_18,4
C_19,4
C_20,4
C_21,4
C_22,4
C_23,1
D_1,2
D_2,2
D_3,2
D_4,2
D_5,3
D_6,4
D_7,3
D_12,4
D_13,4
D_14,4
D_15,4
D_16,4
D_17,4
D_18,4
D_20,4
D_21,4
D_22,4
D_23,3
D_24,2
E_1,5
E_2,5
E_3,5
E_4,5
E_5,5
E_6,4
E_7,4
E_11,4
E_12,4
E_14,4
E_15,4
E_16,3
E_17,5
E_18,4
E_19,4
E_20,4
E_21,5
E_22,5
F_1,5
F_2,5
F_3,4
F_4,4
F_5,4
F_6,4
F_7,4
F_8,4
F_9,4
F_10,5
F_11,5
F_12,4
F_13,4
F_14,5
F_15,4
F_16,5
F_17,5
F_18,5
F_19,4
F_21,5
F_22,4
F_24,4
G_1,3
G_2,4
G_3,4
G_4,4
G_5,3
G_6,4
G_7,4
G_8,4
G_9,4
G_10,4
G_11,4
G_12,4
G_13,1
G_16,4
G_17,5
G_18,4
G_19,4
G_20,5
G_21,5
G_22,4
G_23,3
G_24,4
H_1,4
H_2,4
H_3,4
H_4,4
H_5,4
H_6,4
H_7,4
H_8,4
H_9,5
H_10,4
H_11,5
H_12,5
H_16,5
H_18,4
H_21,5
H_22,4
H_23,4
H_24,5
I_2,4
I_3,4
I_4,4
I_5,4
I_6,4
I_7,4
I_8,4
I_9,4
I_10,4
I_11,4
I_12,4
I_13,2
I_14,2
I_15,4
I_16,4
I_17,4
I_18,4
I_22,4
I_23,4
I_24,4
J_1,3
J_2,3
J_3,3
J_4,3
J_5,4
J_6,5
J_7,5
J_8,4
J_9,4
J_10,4
J_11,4
J_12,2
J_13,2
J_14,2
J_15,2
J_16,4
J_17,4
J_18,4
J_19,3
J_20,4
J_21,4
J_22,4
J_23,4
J_24,4
K_1,4
K_2,5
K_3,5
K_4,4
K_5,5
K_7,5
K_10,4
K_11,2
K_12,1
K_13,1
K_14,1
K_15,4
K_16,5
K_17,4
K_18,4
K_19,5
K_20,5
K_21,2
K_22,2
K_23,2
K_24,2
L_1,3
L_2,2
L_4,4
L_5,4
L_6,4
L_7,4
L_8,4
L_9,4
L_15,3
L_16,3
L_17,4
L_18,4
L_20,3
L_21,2
L_22,2
L_24,2
M_1,2
M_2,3
M_3,2
M_5,4
M_6,5
M_7,5
M_8,4
M_9,3
M_10,2
M_11,2
M_12,1
M_13,1
M_14,5
M_15,5
M_16,5
M_18,2
M_20,2
M_21,3
M_22,3
M_23,3
M_24,4
N_1,3
N_2,2
N_3,2
N_4,2
N_5,4
N_6,4
N_7,4
N_8,2
N_9,2
N_10,2
N_11,2
N_12,1
N_14,3
N_17,3
N_19,1
N_20,2
N_22,1
N_23,3
N_24,3
O_1,4
O_2,3
O_3,3
O_4,3
O_5,3
O_6,4
O_7,2
O_8,2
O_9,2
O_10,2
O_11,2
O_12,2
O_13,5
O_14,5
O_15,4
O_16,4
O_17,4
O_18,4
O_19,4
O_20,3
O_21,3
O_22,3
O_23,5
O_24,4
P_1,4
P_2,2
P_3,2
P_4,2
P_5,3
P_6,3
P_7,3
P_8,1
P_9,1
P_10,1
P_11,2
P_12,2
P_13,2
P_14,2
P_15,2
P_16,2
P_17,2
P_18,2
P_19,2
P_20,2
P_21,1
P_22,2
P_23,4
Q_1,3
Q_2,2
Q_3,3
Q_4,3
Q_5,3
Q_6,3
Q_7,3
Q_8,1
Q_9,1
Q_10,1
Q_11,4
Q_12,4
Q_13,4
Q_14,2
Q_15,5
Q_16,2
Q_17,2
Q_18,2
Q_19,2
Q_20,2
Q_21,2
Q_22,2
Q_23,4
Q_24,3
R_1,2
R_2,2
R_3,2
R_4,2
R_5,3
R_6,3
R_7,2
R_8,2
R_10,5
R_11,5
R_12,5
R_13,4
R_14,3
R_15,4
R_21,2
R_23,4
R_24,3
S_1,3
S_2,2
S_3,2
S_4,2
S_6,3
S_7,3
S_8,1
S_9,4
S_10,4
S_11,4
S_12,4
S_18,3
S_19,3
S_20,3
S_21,3
S_24,3
T_1,3
T_2,2
T_4,3
T_6,1
T_7,1
T_9,4
T_10,4
T_11,4
T_12,4
T_13,4
T_14,3
T_15,3
T_16,3
T_17,3
T_18,3
T_19,3
T_20,3
T_21,4
T_22,3
T_23,3
T_24,3
W_1,1
W_2,1
W_3,1
W_4,4
W_5,4
W_6,4
W_8,5
W_9,4
W_10,4
W_11,3
W_12,3
W_13,3
W_14,3
W_15,2
W_16,1
W_17,1
W_18,2
W_20,2
W_21,2
W_22,2
W_24,1
X_2,3
X_3,4
X_4,4
X_5,5
X_6,4
X_7,4
X_8,4
X_9,4
X_11,2
X_23,4
X_24,4
Y_2,3
Y_3,3
Y_6,4
Y_7,1
Y_8,1
Y_9,2
Y_10,3
Y_11,3
Y_12,1
Z_1,2
Z_2,1
Z_3,1
Z_4,1
Z_5,4
Z_6,4
Z_7,4
Z_8,4
Z_9,4
Z_10,4
Z_11,4
Z_13,1
Z_14,1
Z_15,4
Z_16,4
Z_17,4
Z_18,4
Z_19,4
Z_20,4
Z_21,4
Z_22,4
WNC_4,1
WNC_6,1
WNC_8,3
WNC_10,4
WNC_12,1
WNC_14,1
WNC_16,4
WNC_18,4
WNC_20,4
WNC_22,4
WNC_24,4
WNC_3,1
WNC_5,3
WNC_7,4
WNC_9,4
WNC_11,4
WNC_13,5
WNC_15,5
WNC_17,3
WNC_19,4
WNC_21,3
WNC_23,3
WNC_30,1
WNC_32,4
WNC_34,5
WNC_36,4
WNC_38,2
WNC_40,5
WNC_42,2
WNC_44,5
WNC_46,4
WNC_48,5
WNC_50,4
WNC_49,3
WNC_47,3
WNC_45,5
WNC_43,4
WNC_41,4
WNC_39,5
WNC_37,4
WNC_52,1
WNC_54,1
WNC_56,2
WNC_58,3
WNC_60,1
WNC_62,1
WNC_33,4
WNC_35,3
WNC_61,3
WNC_63,4
WNC_65,4
WNC_67,4
WNC_69,4
