grid_point,node_number,node
49,164,3782E0
48,160,37811F
47,126,375473
46,153,378651
45,140,37773C
44A,133,378EC8
43,148,378B26
42A,137,377AB4
41A,173,377EE4
40A,152,376403
39A,154,3776D7
38A,162,37ADE5
37A,150,377509
36A,151,375251
35A,170,376BFE
34,139,376E29
33A,174,376357
1,129,377746
12,155,37AA2F
13,141,37833D
14,143,37A83B
16,171,37A97B
17,130,377371
18A,142,377EDD
32,167,37681F
25,166,377CC6
26,136,378116
29,134,3780B5
30,168,3781B6
2A,156,378E9C
7A,135,3763A3
8A,159,376BB8
9A,132,377A0D
10A,128,37820D
19A,161,3778A1
21A,145,37510D
22A2,163,37A5ED
23A,127,376C34
27,144,376A73
28A,177,37AA16
31,131,37A4E0
15A2,147,37738E
3A,176,376DA0
11,165,378F20
4,172,379BF9
5,149,37AAE8
6,146,3783A9
20,175,37A568
24,169,37757F
