cp,grid_point,distance_gp,mean_gp_distance
A_1,42A,6.489300375980302,427.1404488486224
A_2,42A,22.285270898071293,422.38290666050335
A_3,42A,46.91248191451553,418.98466367370577
A_4,43,53.434081450572705,422.96103368892216
A_5,42A,34.43686970232322,414.9546177524467
A_6,42A,19.768531093849255,408.2635535964187
A_7,42A,29.074338355476186,403.2323104781005
A_8,28A,49.150806386251844,399.6298197474807
A_9,28A,35.384204468271655,397.32414358467406
A_10,28A,36.57742349761841,396.4439667080205
A_11,28A,51.704929514361034,396.9617265555422
A_12,27,44.83438625105003,398.7188984768156
A_13,27,21.015519513985776,401.6669321072245
A_14,27,11.08185737355088,406.04845373851975
A_15,27,32.459031317863975,412.18647154029316
A_16,27,56.86822953563015,419.4653756593915
A_17,15A2,73.27281755260759,427.80549998001334
A_18,15A2,57.4228739000781,437.2085058578233
A_19,15A2,49.75432756012265,447.7262876960591
A_20,14,40.174726872369085,459.4045885691665
A_21,14,15.665408818258697,472.17484093601746
A_22,43,8.900980430166179,425.188609416079
A_23,43,27.408603560413468,414.5831205889163
A_24,43,51.699723929689185,405.2275763344386
B_1,42A,52.76559063279059,397.11994364636513
B_2,42A,44.599375548621914,390.40902407129624
B_3,42A,49.43305254537781,385.1830823861928
B_4,28A,36.82077451527349,381.33970811268495
B_5,28A,13.856747764954678,378.76785372989104
B_6,28A,16.669596438503074,377.89615943233923
B_7,28A,40.16674510614022,378.60549793689825
B_8,27,55.648815323676224,380.52508461524155
B_9,27,39.09373795578543,383.7303970420136
B_10,27,34.77751886139663,388.38760649745126
B_11,27,46.262912520569806,394.522203857627
B_12,27,65.73175894960082,401.9072705198888
B_13,15A2,59.28064580576227,410.3937926752579
B_14,15A2,37.98256685612867,419.9407552491452
B_15,15A2,24.915496152220037,430.6382675156802
B_16,15A2,32.380776322872535,442.72156438916466
B_17,14,25.001126300832546,456.0483563228251
B_18,14,22.49618761424276,470.66238582262497
B_19,43,33.86020399465233,409.2516905745778
B_20,43,42.64408033358408,398.21244925068345
B_21,41A,48.51147255993744,388.5477450363882
B_22,41A,35.91610261577774,380.2419485104913
B_23,41A,38.42129908093025,373.45779956394114
B_24,41A,53.96343553718846,368.18418225908283
C_1,28A,39.31110437180161,364.2746592117378
C_2,28A,19.53465692409239,361.70577815276033
C_3,28A,21.62102718886379,360.8049417675264
C_4,28A,42.461287431125015,361.48758338306385
C_5,26,45.295795132588076,363.45717925881905
C_6,26,37.8186424251517,366.80247527702306
C_7,26,45.36977868844474,371.6652575520508
C_8,26,62.739225240712976,377.9471726012055
C_9,15A2,78.93197112610832,385.4710943381036
C_10,15A2,53.93616582304753,394.1234704620041
C_11,15A2,28.941150094606957,403.84032103007127
C_12,15A2,3.9618982003341814,414.5911681500907
C_13,15A2,21.057763568592687,427.2436879669817
C_14,15A2,46.05201943021636,441.1485418634943
C_15,14,46.20991078369446,456.19281444111266
C_16,14,57.14896394047798,472.309773185199
C_17,44A,44.24314205933581,394.14829010497755
C_18,44A,55.83006313040128,382.87676333680946
C_19,41A,35.17141172366014,372.9612954968632
C_20,41A,13.17693195178659,364.35432823503385
C_21,41A,18.970011747764552,357.5473543136331
C_22,41A,42.375908830304184,352.3450712027972
C_23,28A,54.63133400482221,348.4629791757128
C_24,28A,42.67109590898034,346.0010275957543
D_1,28A,43.6656436522966,345.0900339579454
D_2,26,51.54572522169078,345.66851342916834
D_3,26,28.0334765059536,347.57737730077895
D_4,26,12.822495385220813,350.8829871119287
D_5,26,28.15286047970736,356.0186010730073
D_6,26,51.675693689740655,362.51842509490484
D_7,16,73.19668820982099,370.2210668547822
D_8,15A2,59.61250918791839,379.09776486704357
D_9,15A2,38.49845724953345,389.1311605742515
D_10,15A2,25.695088829359346,400.4047301483546
D_11,15A2,32.98439642883758,413.1871611024274
D_12,13,47.37515509462038,427.40002737404615
D_13,13,61.48632774437254,442.81032438426445
D_14,1,49.15173294590051,459.2184237754035
D_15,1,26.060680922115733,476.47466588638554
D_16,44A,22.937720596685732,392.8932262936338
D_17,44A,20.88187508217113,379.95608347411627
D_18,44A,39.94487646907493,368.6340559757836
D_19,41A,37.01783027919015,358.64636529449876
D_20,41A,17.51921727212369,350.0114624664525
D_21,41A,22.20704399809185,343.11772216416904
D_22,41A,43.92048796538707,337.8155968828717
D_23,29,39.976581665158086,333.85998169194903
D_24,29,34.249441515615644,331.3924206480216
E_1,29,44.693940724762165,330.54265226939987
E_2,26,51.388278220279354,331.16475775474555
E_3,26,27.742908049378922,333.1299373974663
E_4,26,12.174130754663247,336.5186113460134
E_5,26,27.863536964270622,341.7641572274199
E_6,26,51.51864382646839,348.3689807045321
E_7,16,48.638986484692786,356.20894864647
E_8,16,49.34237718562094,365.3316493010633
E_9,15A2,58.10592846859621,375.72682538241514
E_10,13,36.87453080380623,387.3578429196668
E_11,13,19.915833203087335,400.30094668030716
E_12,13,26.13765040885108,414.8218426778052
E_13,13,47.109872727661845,430.63084644866
E_14,1,48.59752275080702,447.38822631185326
E_15,1,24.99970527168433,464.972403595061
E_16,44A,15.948750733691252,380.13709593602266
E_17,44A,12.81703234634654,367.01036921498155
E_18,44A,36.38429458238506,355.64587884149876
E_19,41A,52.47130693802164,345.644648349424
E_20,41A,41.10767755421347,337.1197157231347
E_21,41A,43.31363535964393,330.15332439838056
E_22,29,46.87366985956106,324.6676892923325
E_23,29,22.856311673150987,320.53500934316236
E_24,29,9.864486445422717,317.91563307380767
F_1,29,30.361690839800538,317.26944257276557
F_2,29,54.73557832608623,318.0189968852487
F_3,26,44.75588111617106,320.15798841641066
F_4,26,37.17027498661939,323.7992971396934
F_5,26,44.830755605243745,328.9974891809014
F_6,16,42.47447945165165,335.58350393239994
F_7,16,24.967446145935515,343.45742144635784
F_8,16,26.31145274011062,352.8236917657619
F_9,16,44.84237901515409,363.6286968532879
F_10,13,32.374824729746095,375.61847439705485
F_11,13,9.221635319584086,388.75376999477226
F_12,13,19.276279283188284,403.6228230505599
F_13,13,43.677665335042306,419.77546145067913
F_14,1,59.642036457863426,436.88045227811756
F_15,1,42.66659550426773,454.9048282738041
F_16,44A,35.10289452953251,368.868186656967
F_17,44A,33.795367510480645,355.64839543211195
F_18,40A,36.347055999050376,343.9704482307809
F_19,40A,29.52772759826333,333.8479178743428
F_20,40A,40.893670847939404,325.3893431790664
F_21,40A,61.01086254769424,318.4483731801124
F_22,29,48.69344856078359,312.923589631064
F_23,29,26.3879101961108,308.78738908244287
F_24,29,16.468723881342118,306.2216029742791
G_1,29,33.102011029857735,305.50047097752514
G_2,25,46.645795519259046,306.24564001393435
G_3,25,39.81950997802748,308.46730195422646
G_4,25,47.38126270373151,312.2764683163934
G_5,16,61.16916166210781,317.5887778496299
G_6,16,36.212302206099764,324.24636845069455
G_7,16,11.429027055816944,332.1358824779286
G_8,16,14.12592799323155,341.7514170213527
G_9,16,38.96265383480804,352.9671944683929
G_10,13,44.56629509967864,365.3551482853643
G_11,13,31.98536910369809,378.990980078535
G_12,13,36.188399462083375,394.00500444059014
G_13,13,53.34570210133154,410.2716514160235
G_14,2A,47.807974647290514,427.62684513215663
G_15,2A,53.659800931470336,446.0235359575105
G_16,45,34.18878488750898,373.4043804487029
G_17,45,41.031489171207895,358.7236346414698
G_18,40A,46.68068045339595,345.4682947966378
G_19,40A,21.914300540555754,333.5880933852684
G_20,40A,5.569087048180249,323.20782513343715
G_21,40A,28.834361992026956,314.94909306156785
G_22,40A,53.679173672412205,308.0591567275247
G_23,29,61.60024565544085,302.5617594755327
G_24,29,46.041936940553555,298.5374951425033
H_1,29,41.16742616363801,296.0897904977116
H_2,29,50.19244305606978,295.2392769100088
H_3,25,28.465164266235025,295.8600094996214
H_4,25,14.833362386013942,298.01021022195033
H_5,25,29.65500607023056,302.05125406749045
H_6,25,52.805660962856095,307.5741119455908
H_7,16,45.47755045732797,314.4389585507239
H_8,16,29.7909264118867,322.6772928656339
H_9,16,30.92601635560068,332.4685811835286
H_10,16,47.69659512571614,343.7839132140473
H_11,12,60.224235295052154,356.4519608276979
H_12,13,56.663186111957835,370.4311369895998
H_13,2A,55.51499847837817,385.66383829097697
H_14,2A,34.299143247675914,402.03828618401815
H_15,2A,22.816117789664297,419.54066134844504
H_16,45,9.383618599453808,364.33439497641086
H_17,45,24.551220734700717,349.77026104313904
H_18,45,48.652855956867924,336.5910091642037
H_19,40A,29.815970502283683,324.7573031721214
H_20,40A,20.970698846361596,314.4980176518517
H_21,40A,35.21613265425613,306.0279438750528
H_22,30,55.57032815625059,299.0477149474246
H_23,30,43.740780744279256,293.51457512676546
H_24,30,44.58787369092838,289.5591012712152
I_1,30,57.55457521844843,287.21949591540636
I_2,25,50.34077068523219,286.40684190267814
I_3,25,26.350111675671872,287.036913434123
I_4,25,10.202518359152961,289.1895050490351
I_5,25,27.63118160451527,293.35851965362286
I_6,25,51.696236314418925,299.00464777744617
I_7,17,57.58875286483856,306.0587884815462
I_8,16,53.795944921316206,314.5661101335241
I_9,12,53.444199129411466,324.53442209517937
I_10,12,37.9667971262286,335.9378530056597
I_11,12,35.725356204426,348.80926103647266
I_12,12,48.58757672952067,363.1066423131616
I_13,2A,50.660790472092295,378.6135781362985
I_14,2A,25.710535778979576,395.16548148946725
I_15,2A,2.2749894450206214,412.6626377450153
I_16,45,16.0268286497984,356.9775021461273
I_17,45,27.777138690694542,342.31310754914585
I_18,39A,48.59076486839671,329.09364186465035
I_19,39A,45.206173113390705,317.32298465656254
I_20,40A,45.805606077271236,307.15163897449565
I_21,40A,53.838271054952905,298.5658447991866
I_22,30,39.95569322606318,291.4403962781543
I_23,30,20.5341620952678,285.7540159026064
I_24,30,22.28170535090633,281.84557410973366
J_1,30,42.67229990443629,279.6890664299994
J_2,25,60.563058738099016,279.01020036005593
J_3,25,42.75533974666041,279.8150216533093
J_4,25,35.18212629784004,282.2064648790419
J_5,25,43.55654833016025,286.2643058959917
J_6,17,38.073760285318755,291.86628649543786
J_7,17,32.75648150174743,299.01685665149165
J_8,17,44.11339140921088,307.7636845587272
J_9,12,41.89573827182795,317.928606727513
J_10,12,18.451232651983496,329.3905307935683
J_11,12,13.239008771436733,342.41097166660467
J_12,12,35.49257673132445,357.1146173203002
J_13,2A,57.452104253248656,372.9420343710539
J_14,2A,37.35317969617733,389.8277249553527
J_15,2A,27.19198209254923,407.8197524599372
J_16,45,40.930358417739825,351.10362856600295
J_17,45,46.7974838889962,336.3259535777104
J_18,39A,27.329489671542323,322.9387357373875
J_19,39A,20.722852578319635,311.1198115552859
J_20,39A,36.89987357431676,301.07355063103705
J_21,39A,59.5264073709459,292.5078001470424
J_22,30,36.80328011213841,285.33402325470865
J_23,30,13.404315944563477,279.5577634788143
J_24,30,15.953001972917017,275.682130716956
K_1,30,39.73599375774262,273.6252488577953
K_2,32,57.88341587779835,273.0248063901164
K_3,32,55.55730792189922,273.962897048122
K_4,25,60.175584266106846,276.50511755589883
K_5,17,45.62909738985483,280.6084912321793
K_6,17,21.348579701637085,286.1617814580786
K_7,17,8.895935365297722,293.28914971164585
K_8,17,30.856797901179394,302.3967213873248
K_9,12,43.63314644852534,312.8190588077288
K_10,12,22.114393809893233,324.52006566170706
K_11,12,17.99638189711139,337.75497766527326
K_12,12,37.52761022898105,352.60160104596736
K_13,12,61.175172524384145,368.64221423468615
K_14,2A,58.130171090332816,385.8169404012714
K_15,46,22.50998452780337,362.4677418905405
K_16,46,38.11239631668086,346.4337581335668
K_17,39A,44.152697909589634,331.7101116735702
K_18,39A,19.5542258748595,318.261493437813
K_19,39A,8.05625996579753,306.35418425800043
K_20,39A,31.57637526438375,296.4549049592478
K_21,39A,56.3813818261856,287.91324313368636
K_22,30,48.60178801941242,280.7761528795052
K_23,30,34.45762515950275,275.1751018820095
K_24,30,35.526757916538934,271.2938959879848
L_1,30,50.85864336683749,269.0912168843044
L_2,32,34.9485908462661,268.42925398676596
L_3,32,30.943958888544234,269.4229284260958
L_4,32,44.08267276045229,272.1543725048217
L_5,17,48.350736387803146,276.43663395607666
L_6,17,26.674723183115795,282.1719315383086
L_7,17,18.300727461834057,289.5117609555248
L_8,17,34.75515835248141,298.65505638268144
L_9,12,57.46371537981191,309.2451951327908
L_10,12,43.442759794825385,321.236182432387
L_11,12,41.49815312519596,334.68132210576437
L_12,3A,50.91957474329388,349.52574340330233
L_13,3A,37.98966043642057,365.63499835715044
L_14,3A,39.2842781120267,383.00702792646007
L_15,46,7.276511558762843,358.9548571187013
L_16,46,31.60384580723189,343.14711570791553
L_17,39A,53.24055060399778,328.5379953999132
L_18,39A,35.601447646477276,315.2571781487248
L_19,39A,30.82204757714542,303.5175649072872
L_20,39A,43.383901062102744,293.41821313674194
L_21,31,52.536713290770464,284.7914186192921
L_22,31,39.53042928746463,277.6341130311544
L_23,31,40.18497916825055,272.1197669686142
L_24,31,54.0059199849259,268.3046847379441
M_1,32,43.07494708282192,266.06116274715953
M_2,32,18.491799380983895,265.2825964590671
M_3,32,8.835790822886494,266.2207515559861
M_4,32,32.616326407778956,269.2576197388805
M_5,32,57.438726546938454,273.76629397840946
M_6,17,47.08448406182233,279.76906397441184
M_7,17,42.89900198714273,287.3217679699028
M_8,11,49.41242588212439,296.4390251314382
M_9,11,39.025982502566976,307.0721901788883
M_10,11,43.05921539557506,319.2505315764835
M_11,11,58.607115679095486,332.8848054059363
M_12,3A,37.31430032348341,347.79653968584864
M_13,3A,15.581016755727697,363.8643492972871
M_14,46,29.134595343923372,357.322435055957
M_15,46,42.363666048533666,341.3584674878886
M_16,38A,50.87421248399003,326.7594489370397
M_17,38A,49.658821930868946,313.5959739566196
M_18,39A,55.54028184865232,301.96512459546653
M_19,31,62.77385241193407,291.8377797590753
M_20,31,38.64551420554607,283.1326359259447
M_21,31,17.205354554293436,275.8464386217437
M_22,31,18.660169743091085,270.39527817157796
M_23,31,40.620301744932,266.75927110263245
M_24,32,47.17650645961305,264.5993222181658
N_1,32,26.685542395163818,263.9336183172494
N_2,32,21.171742936049903,264.9985269204886
N_3,32,37.868144350262945,267.95492793680535
N_4,18A,44.32949734005245,272.5530237039401
N_5,18A,52.997961878862625,278.75427986359216
N_6,11,57.49628651951104,286.4718927918904
N_7,11,33.72881515232218,295.617344456137
N_8,11,14.801092586574788,306.1847673086802
N_9,11,23.455086665542233,318.5684638850926
N_10,11,46.161014225844724,332.4475712314211
N_11,3A,37.96761634204474,347.521732499817
N_12,3A,17.08656892338595,363.7319778554023
N_13,47,44.0379192963531,374.1974095656649
N_14,47,52.857263349641336,356.9034214453156
N_15,38A,46.407518589941674,340.9329683914483
N_16,38A,27.961425680888148,326.286636660006
N_17,38A,25.683738105113928,313.1909550031917
N_18,38A,42.27407039506431,301.73525878458605
N_19,31,62.63829028822622,291.696563317656
N_20,31,38.42491848153446,283.03106438578675
N_21,31,16.703972107189976,275.7854375473569
N_22,31,18.198911992863472,270.3856994037853
