est_method,cp_time,dets,error,habitat
knn,5,27,151,4
knn,5,27,329,4
knn,5,27,65,4
knn,5,31,309,5
knn,5,31,53,5
knn,5,31,317,5
knn,5,40,61,5
knn,5,40,116,5
knn,5,40,153,5
knn,5,31,60,4
knn,5,31,174,4
knn,5,31,59,4
knn,5,16,135,4
knn,5,16,135,4
knn,5,16,222,4
knn,5,22,76,4
knn,5,22,60,4
knn,5,22,149,4
knn,5,27,164,4
knn,5,27,56,4
knn,5,27,137,4
knn,5,21,50,4
knn,5,21,56,4
knn,5,21,69,4
knn,5,14,49,4
knn,5,14,143,4
knn,5,14,101,4
knn,5,25,77,4
knn,5,25,82,4
knn,5,25,83,4
knn,5,23,295,4
knn,5,23,132,4
knn,5,23,101,4
knn,5,17,60,4
knn,5,17,35,4
knn,5,17,59,4
knn,5,13,59,4
knn,5,13,116,4
knn,5,30,61,3
knn,5,30,37,3
knn,5,30,59,3
knn,5,27,26,3
knn,5,27,25,3
knn,5,27,19,3
knn,5,25,19,3
knn,5,25,18,3
knn,5,25,25,3
knn,5,37,93,4
knn,5,37,67,4
knn,5,37,83,4
knn,5,18,63,1
knn,5,18,286,1
knn,5,18,19,1
knn,5,31,26,4
knn,5,31,37,4
knn,5,31,67,4
knn,5,47,83,4
knn,5,47,0,4
knn,5,47,26,4
knn,5,44,143,4
knn,5,44,50,4
knn,5,44,50,4
knn,5,11,184,4
knn,5,11,102,4
knn,5,15,175,4
knn,5,15,108,4
knn,5,15,43,4
knn,5,13,170,4
knn,5,13,119,4
knn,5,13,120,4
knn,5,16,17,3
knn,5,16,95,3
knn,5,16,17,3
knn,5,11,49,3
knn,5,11,60,3
knn,5,11,60,3
knn,5,11,37,3
knn,5,11,37,3
knn,5,11,35,3
knn,5,11,409,3
knn,5,11,51,3
knn,5,11,476,3
knn,5,20,30,4
knn,5,20,86,4
knn,5,20,48,4
knn,5,22,35,3
knn,5,22,42,3
knn,5,22,8,3
knn,5,35,12,4
knn,5,35,53,4
knn,5,35,26,4
knn,5,29,42,4
knn,5,29,25,4
knn,5,29,138,4
knn,5,20,126,4
knn,5,20,9,4
knn,5,20,84,4
knn,5,20,160,4
knn,5,20,67,4
knn,5,20,201,4
knn,5,28,83,4
knn,5,28,167,4
knn,5,28,42,4
knn,5,34,100,3
knn,5,34,11,3
knn,5,34,30,3
knn,5,25,50,3
knn,5,25,123,3
knn,5,25,8,3
knn,5,33,51,3
knn,5,33,42,3
knn,5,33,71,3
knn,5,34,38,5
knn,5,34,47,5
knn,5,34,153,5
knn,5,15,51,5
knn,5,15,100,5
knn,5,15,37,5
knn,5,15,83,4
knn,5,15,84,4
knn,5,15,18,4
knn,5,13,45,4
knn,5,13,26,4
knn,5,29,89,4
knn,5,29,87,4
knn,5,29,34,4
knn,5,30,23,1
knn,5,30,59,1
knn,5,30,26,1
