tag,cp,error,x_est,y_est,est,nearest_gp_det,grid_point,distance_gp,mean_gp_distance,dist_center,habitat
4C2A341E,A_1,45.113560184142,186423.0719973448,447904.69472463935,Fingerprinting,FALSE,42A,6.489300375980302,427.1404488486224,367.63145158435185,4
78524B34,A_1,33.007611903067804,186463.17271235952,447853.2913519179,Fingerprinting,FALSE,42A,6.489300375980302,427.1404488486224,367.63145158435185,4
2D331955,A_1,32.96526342294999,186463.17410301376,447853.33367755846,Fingerprinting,FALSE,42A,6.489300375980302,427.1404488486224,367.63145158435185,4
2D331955,A_10,91.8748611665221,186344.3859219607,447780.1290409105,Fingerprinting,TRUE,28A,36.57742349761841,396.4439667080205,327.67393260753096,5
4C2A341E,A_10,141.86936964277916,186308.87216096307,447724.18010145135,Fingerprinting,TRUE,28A,36.57742349761841,396.4439667080205,327.67393260753096,5
78524B34,A_10,91.08624168942151,186350.5640900336,447755.5634888899,Fingerprinting,TRUE,28A,36.57742349761841,396.4439667080205,327.67393260753096,5
78524B34,A_11,114.4555129053446,186333.60680584543,447709.4146045223,Fingerprinting,TRUE,28A,51.704929514361034,396.9617265555422,328.33127209720055,5
2D331955,A_11,90.06977237179268,186377.6438627151,447831.4942796032,Fingerprinting,TRUE,28A,51.704929514361034,396.9617265555422,328.33127209720055,5
4C2A341E,A_11,68.23409432829885,186369.56545953985,447780.9491585023,Fingerprinting,TRUE,28A,51.704929514361034,396.9617265555422,328.33127209720055,5
4C2A341E,A_12,66.20138535426966,186376.1119025103,447705.7239371896,Fingerprinting,FALSE,27,44.83438625105003,398.7188984768156,330.8816138190506,4
78524B34,A_12,68.90809539888076,186368.03630706377,447755.9395444032,Fingerprinting,FALSE,27,44.83438625105003,398.7188984768156,330.8816138190506,4
2D331955,A_12,79.12892525195124,186365.96747938695,447697.3886124158,Fingerprinting,FALSE,27,44.83438625105003,398.7188984768156,330.8816138190506,4
4C2A341E,A_13,49.93096878940324,186383.60080037772,447712.8324233381,Fingerprinting,FALSE,27,21.015519513985776,401.6669321072245,335.2817628362778,4
78524B34,A_13,65.87716652588776,186385.0437812857,447756.8216472896,Fingerprinting,FALSE,27,21.015519513985776,401.6669321072245,335.2817628362778,4
2D331955,A_13,65.42115417986922,186393.75875091803,447764.1680335342,Fingerprinting,FALSE,27,21.015519513985776,401.6669321072245,335.2817628362778,4
78524B34,A_14,64.11447125501059,186375.34384013215,447715.877317255,Fingerprinting,FALSE,27,11.08185737355088,406.04845373851975,341.4602152794875,4
2D331955,A_14,84.21023635893846,186349.25838468148,447698.5382460077,Fingerprinting,FALSE,27,11.08185737355088,406.04845373851975,341.4602152794875,4
4C2A341E,A_14,57.479814256029144,186376.02635136803,447696.7900646773,Fingerprinting,FALSE,27,11.08185737355088,406.04845373851975,341.4602152794875,4
2D331955,A_16,75.40344498985814,186420.23126643075,447562.653224386,Fingerprinting,FALSE,27,56.86822953563015,419.4653756593915,358.7582958914149,4
