tag,cp,error,x_cal,y_cal,x_est,y_est,node_count
4C2A341E,A_1,45.113560184141996,186464.25663065453,447886.2811619306,186423.07199734478,447904.69472463935,14
78524B34,A_1,33.007611903067804,186464.25663065453,447886.2811619306,186463.17271235952,447853.2913519179,19
2D331955,A_1,32.96526342294999,186464.25663065453,447886.2811619306,186463.17410301376,447853.33367755846,16
2D331955,A_10,91.8748611665221,186435.9905195975,447787.1709018982,186344.3859219607,447780.1290409105,24
4C2A341E,A_10,141.86936964277916,186435.9905195975,447787.1709018982,186308.87216096307,447724.18010145135,16
78524B34,A_10,91.08624168942153,186435.9905195975,447787.1709018982,186350.56409003361,447755.56348888995,23
78524B34,A_11,114.4555129053446,186435.1696918973,447762.1881263987,186333.60680584543,447709.4146045223,26
2D331955,A_11,90.06977237179268,186435.1696918973,447762.1881263987,186377.6438627151,447831.49427960324,20
4C2A341E,A_11,68.23409432829885,186435.1696918973,447762.1881263987,186369.56545953982,447780.9491585023,22
4C2A341E,A_12,66.20138535426966,186434.3488669429,447737.20535069826,186376.11190251034,447705.72393718956,15
78524B34,A_12,68.90809539888076,186434.3488669429,447737.20535069826,186368.03630706374,447755.9395444032,25
2D331955,A_12,79.12892525195124,186434.3488669429,447737.20535069826,186365.96747938695,447697.3886124158,16
4C2A341E,A_13,49.93096878940324,186433.52804473392,447712.22257479513,186383.60080037772,447712.8324233381,17
78524B34,A_13,65.87716652588776,186433.52804473392,447712.22257479513,186385.0437812857,447756.82164728956,20
2D331955,A_13,65.42115417986922,186433.52804473392,447712.22257479513,186393.75875091803,447764.1680335342,18
78524B34,A_14,64.11447125501059,186432.70722527133,447687.2397986878,186375.34384013218,447715.877317255,17
2D331955,A_14,84.21023635893846,186432.70722527133,447687.2397986878,186349.25838468148,447698.53824600764,14
4C2A341E,A_14,57.479814256029144,186432.70722527133,447687.2397986878,186376.02635136805,447696.79006467725,12
2D331955,A_16,75.40344498985814,186431.0655945817,447637.274245887,186420.23126643075,447562.653224386,15
78524B34,A_16,54.99296780719315,186431.0655945817,447637.274245887,186389.76624632388,447673.58664517046,18
4C2A341E,A_16,67.25726474644772,186431.0655945817,447637.274245887,186412.8098913689,447572.54195903277,17
78524B34,A_17,88.967598741824,186430.24478335585,447612.29146918247,186364.82496777276,447672.5864221633,17
2D331955,A_17,43.93761933969339,186430.24478335585,447612.29146918247,186397.600135212,447582.8832842537,16
4C2A341E,A_17,6.475078136834573,186430.24478335585,447612.29146918247,186430.03216057929,447605.8198829447,16
4C2A341E,A_18,34.64554431492102,186429.4239748753,447587.3086922689,186420.11435347164,447553.9373768888,14
78524B34,A_18,9.178298562941157,186429.4239748753,447587.3086922689,186429.12258661955,447578.13534339133,18
2D331955,A_18,34.22635010585197,186429.4239748753,447587.3086922689,186420.11077126855,447554.3737977018,13
78524B34,A_19,1.804052228960631,186428.60316914052,447562.32591516984,186428.54393216266,447560.5228357414,16
2D331955,A_19,55.99112334677168,186428.60316914052,447562.32591516984,186401.89765910822,447513.1139082249,14
4C2A341E,A_19,64.46631129672504,186428.60316914052,447562.32591516984,186400.89935217914,447504.1159175923,12
2D331955,A_2,10.323833118600684,186463.43579217076,447861.298389964,186463.0967753218,447850.9801247107,21
4C2A341E,A_2,25.321570830562873,186463.43579217076,447861.298389964,186439.53208405752,447869.6527114663,18
78524B34,A_2,24.99625322661954,186463.43579217076,447861.298389964,186462.61495643322,447836.31561781873,23
2D331955,A_20,8.961561173395298,186427.78236615076,447537.343137862,186418.8427687391,447537.9701759644,16
78524B34,A_20,29.143569566425587,186427.78236615076,447537.343137862,186410.91678536055,447513.5755163638,17
4C2A341E,A_20,31.24682953036459,186427.78236615076,447537.343137862,186401.3757566303,447520.6381886153,13
2D331955,A_21,42.525254184836385,186426.96156590743,447512.36036035256,186385.02912758032,447505.2844957815,15
4C2A341E,A_21,36.86215175127416,186426.96156590743,447512.36036035256,186395.91118780785,447532.22722350725,11
78524B34,A_21,27.614720630192995,186426.96156590743,447512.36036035256,186399.58276179095,447508.7584330025,14
2D331955,A_22,58.38657929805056,186417.57446529096,447987.8539498782,186416.3394045714,447929.4804347609,16
4C2A341E,A_22,40.47048726976499,186417.57446529096,447987.8539498782,186394.12135384502,447954.87195625505,18
78524B34,A_22,50.63364293736449,186417.57446529096,447987.8539498782,186423.9605083358,447937.6246332261,22
78524B34,A_23,26.551229653241737,186416.7536154274,447962.8711732222,186424.88086621917,447937.5943935486,19
2D331955,A_23,30.13451444087149,186416.7536154274,447962.8711732222,186432.75449826487,447937.3356938061,12
4C2A341E,A_23,29.590799704622555,186416.7536154274,447962.8711732222,186431.76097355876,447937.3683375156,14
78524B34,A_24,6.202467028603741,186415.9327683089,447937.8883963833,186422.13189011868,447937.68471518985,19
2D331955,A_24,11.459015260654736,186415.9327683089,447937.8883963833,186422.8900201845,447928.7831409183,15
4C2A341E,A_24,9.136008413093762,186415.9327683089,447937.8883963833,186416.8159291715,447946.9816178485,13
2D331955,A_3,48.184668920859544,186462.6149564332,447836.3156178187,186414.71548657483,447831.0808201816,20
4C2A341E,A_3,24.99625322667867,186462.6149564332,447836.3156178187,186463.43579217076,447861.298389964,21
78524B34,A_3,13.122423881541836,186462.6149564332,447836.3156178187,186456.0598359581,447847.6834849926,22
78524B34,A_4,33.913609077261135,186440.91554345647,447937.06755071256,186407.02022524434,447938.18123107223,21
2D331955,A_4,41.4185019417053,186440.91554345647,447937.06755071256,186399.51938004716,447938.4276823549,17
4C2A341E,A_4,34.45504227584603,186440.91554345647,447937.06755071256,186407.69883200724,447946.2217857286,16
2D331955,A_5,29.5573927962221,186440.0946992826,447912.08477640274,186455.03959234012,447886.58399915166,19
78524B34,A_5,29.991720709913302,186440.0946992826,447912.08477640274,186418.50726067167,447932.90509833494,19
4C2A341E,A_5,60.646832691677965,186440.0946992826,447912.08477640274,186389.00168525937,447879.41151158954,16
78524B34,A_6,17.667976092615444,186439.2738578539,447887.1020019046,186455.14471434656,447879.3384142418,22
2D331955,A_6,8.908957333842743,186439.2738578539,447887.1020019046,186439.56641620572,447896.00615432847,24
4C2A341E,A_6,24.996255765051636,186439.2738578539,447887.1020019046,186440.0946992826,447912.0847764027,22
4C2A341E,A_7,9.535661952371543,186438.4530191717,447862.119227203,186438.13988456578,447852.58870803623,23
2D331955,A_7,0.6894021362050685,186438.4530191717,447862.119227203,186438.43038301263,447861.43019679026,22
78524B34,A_7,24.996255992715586,186438.4530191717,447862.119227203,186437.6321832343,447837.13645229675,25
2D331955,A_8,24.99625599265741,186437.6321832343,447837.13645229675,186438.4530191717,447862.11922720296,25
78524B34,A_8,24.99625599265645,186437.6321832343,447837.13645229675,186438.45301917166,447862.11922720296,26
4C2A341E,A_8,24.99625599265645,186437.6321832343,447837.13645229675,186438.45301917166,447862.11922720296,24
4C2A341E,A_9,41.568465737790866,186436.81135004293,447812.1536771926,186462.88479128093,447844.52825063845,24
2D331955,A_9,22.460994141432366,186436.81135004293,447812.1536771926,186414.4415290943,447814.1754013448,22
78524B34,A_9,41.06757448783924,186436.81135004293,447812.1536771926,186438.38798374194,447853.1909760863,24
2D1E4C2A,B_1,78.46561920199234,186415.11192393544,447912.90561932017,186343.0225020537,447881.922258471,18
2D2D5555,B_1,34.300180539108254,186415.11192393544,447912.90561932017,186391.47015462338,447937.7565575079,8
521E521E,B_1,32.13264875185041,186415.11192393544,447912.90561932017,186398.661615711,447940.50805535633,8
2D1E4C2A,B_10,67.24612874736712,186407.7244481264,447688.0606168939,186341.28444583467,447698.4417501164,20
2D2D5555,B_10,23.302349998590685,186407.7244481264,447688.0606168939,186391.06268348664,447704.35126189486,9
521E521E,B_10,7.26664561150847,186407.7244481264,447688.0606168939,186407.14009885702,447695.3037290962,10
