tag,cp,x,y,error,x_est,y_est
34556652,R_9,186003.0747609206,447551.29679482314,26.946643716309843,185998.07228244696,447577.7750277078
784C5552,R_9,186003.0747609206,447551.29679482314,33.72679360178275,186012.15694545608,447583.7777204676
78612A1E,R_9,186003.0747609206,447551.29679482314,21.515451175685385,186021.216332819,447562.86390372505
34556652,R_8,186003.89556733717,447576.27961877425,14.718041819848477,186009.51908464386,447562.67826560215
784C5552,R_8,186003.89556733717,447576.27961877425,27.241496820360638,186030.57309927937,447570.7652340863
78612A1E,R_8,186003.89556733717,447576.27961877425,16.038706242974726,186014.16543942498,447563.96012912376
34556652,R_6,186005.537188398,447626.2452660975,52.44211429314447,185957.03958078602,447646.199148112
784C5552,R_6,186005.537188398,447626.2452660975,36.26595564032074,185973.16479528058,447609.8975536472
78612A1E,R_6,186005.537188398,447626.2452660975,68.51376569777511,185937.23663855033,447620.84424947156
34556652,R_4,186007.1788204292,447676.21091259626,22.834855078836828,186008.1123929184,447653.39514942956
784C5552,R_4,186007.1788204292,447676.21091259626,38.058538141788006,185972.68705667413,447660.1245656351
78612A1E,R_4,186007.1788204292,447676.21091259626,22.520375051379713,185988.7291069511,447663.29675892554
34556652,R_3,186007.99964055783,447701.1937355494,26.872657704641377,185982.16958515407,447708.6064253412
784C5552,R_3,186007.99964055783,447701.1937355494,38.77509863919696,186014.89888489185,447663.03736383904
78612A1E,R_3,186007.99964055783,447701.1937355494,50.4327511734521,185976.95191671996,447661.4507961084
34556652,R_24,185985.47929420735,447776.9630330496,8.796074909995628,185994.27413016447,447777.11066200904
784C5552,R_24,185985.47929420735,447776.9630330496,14.45129015555965,185998.44544522703,447783.344154808
78612A1E,R_24,185985.47929420735,447776.9630330496,31.28289695535879,186015.7432021059,447784.8823461908
34556652,R_21,185987.94179632957,447851.9115071194,52.89993639978947,185935.20366440126,447856.04584041674
784C5552,R_21,185987.94179632957,447851.9115071194,33.19968723813273,185955.8916071694,447860.5720271678
78612A1E,R_21,185987.94179632957,447851.9115071194,39.21098595267798,185950.1877396883,447862.5007765233
34556652,R_20,185988.76263585387,447876.894331418,41.768759153234,185947.6790437328,447869.35989715724
784C5552,R_20,185988.76263585387,447876.894331418,33.623667096457744,185959.64136020438,447860.08652687486
78612A1E,R_20,185988.76263585387,447876.894331418,17.232872636766317,185971.6237956749,447878.6921235737
34556652,R_2,186008.8204634287,447726.1765582929,43.742357272605695,185985.87192448784,447688.9373534109
784C5552,R_2,186008.8204634287,447726.1765582929,52.40482697241561,185968.5880208519,447692.5965574842
78612A1E,R_2,186008.8204634287,447726.1765582929,68.98331625487212,185959.78608784432,447677.6551410365
34556652,R_18,185990.40432313055,447926.859979394,4.249025937568374,185993.50580221973,447929.76429495495
784C5552,R_18,185990.40432313055,447926.859979394,17.738008403338792,186004.31655259206,447915.8560340321
78612A1E,R_18,185990.40432313055,447926.859979394,18.79900649343633,186007.8055402598,447919.7465914838
34556652,R_17,185991.22517088248,447951.842803095,12.991619412035401,185978.24869985753,447951.2156072038
784C5552,R_17,185991.22517088248,447951.842803095,38.16733484693926,185984.15035510028,447914.33690447937
78612A1E,R_17,185991.22517088248,447951.842803095,21.027904770533485,185996.79514468106,447931.5660141253
34556652,R_16,185992.04602137627,447976.8256265906,56.570388360163655,185993.86778753562,448033.3666736916
784C5552,R_16,185992.04602137627,447976.8256265906,51.61613393514358,186011.3447433656,448024.69821386127
78612A1E,R_16,185992.04602137627,447976.8256265906,72.05318162567634,185993.41367972072,448048.865827125
34556652,R_15,185992.86687461255,448001.80844989343,28.35124583524649,185981.55146978176,448027.80373319495
784C5552,R_15,185992.86687461255,448001.80844989343,39.064160011789106,186001.31749728095,448039.94761052844
78612A1E,R_15,185992.86687461255,448001.80844989343,28.273519502977944,186000.89225499035,448028.91905989905
34556652,R_14,185993.68773059128,448026.7912729953,8.52469443893467,185988.1712830491,448033.29044384946
784C5552,R_14,185993.68773059128,448026.7912729953,24.802358447903504,185989.05107499074,448051.1563793858
78612A1E,R_14,185993.68773059128,448026.7912729953,16.80794172672123,185986.6089156926,448042.03585513844
34556652,R_12,185995.3294507752,448076.75691860705,24.8657931069621,186002.5521154191,448100.55063169013
784C5552,R_12,185995.3294507752,448076.75691860705,18.192741279627587,185999.8991971811,448094.36638347834
78612A1E,R_12,185995.3294507752,448076.75691860705,32.0318434082002,186026.84697801815,448071.0398854064
34556652,R_11,185996.15031498065,448101.7397411142,31.079671720395666,186025.0105899143,448090.2058551688
784C5552,R_11,185996.15031498065,448101.7397411142,33.512492811713564,185996.0834910444,448068.22731492604
78612A1E,R_11,185996.15031498065,448101.7397411142,23.790479556503932,186019.55561539734,448097.47607720474
34556652,R_10,185996.97118192835,448126.7225634181,16.17076589674647,186007.82480444026,448114.7353807609
784C5552,R_10,185996.97118192835,448126.7225634181,25.540571044841165,185998.87404304385,448101.2529758896
78612A1E,R_10,185996.97118192835,448126.7225634181,39.80355356980258,186008.0880405629,448088.502956789
34556652,H_9,186255.36528147533,447618.03714321926,99.91900898050501,186171.9657074676,447563.00697502965
784C5552,H_9,186255.36528147533,447618.03714321926,102.90367905997913,186165.00430068577,447568.8023961921
78612A1E,H_9,186255.36528147533,447618.03714321926,97.37363493453344,186172.53261762537,447566.84754876996
34556652,H_8,186256.18609410935,447643.01993914746,147.35297679039513,186147.94706486264,447543.0338785354
784C5552,H_8,186256.18609410935,447643.01993914746,144.85223153542452,186123.59151070906,447584.7031711155
78612A1E,H_8,186256.18609410935,447643.01993914746,116.93857062342396,186158.30496692326,447579.0362362206
34556652,H_7,186257.00690948745,447668.0027348544,165.09535110687037,186123.06422330908,447571.48417821154
784C5552,H_7,186257.00690948745,447668.0027348544,160.29832214318387,186120.18569559412,447584.4832310803
78612A1E,H_7,186257.00690948745,447668.0027348544,185.2574003517158,186113.81253621858,447550.46263170143
34556652,H_6,186257.8277276097,447692.9855303755,217.12562981679457,186084.7847824609,447824.1330742243
