cp,x,y
A_1,186464.25663065453,447886.2811619306
A_2,186463.43579217076,447861.29838996404
A_3,186462.61495643322,447836.3156178187
A_4,186440.91554345647,447937.06755071256
A_5,186440.0946992826,447912.08477640274
A_6,186439.2738578539,447887.1020019046
A_7,186438.45301917166,447862.119227203
A_8,186437.6321832343,447837.13645229675
A_9,186436.81135004293,447812.1536771926
A_10,186435.9905195975,447787.1709018982
A_11,186435.1696918973,447762.1881263987
A_12,186434.34886694286,447737.20535069826
A_13,186433.52804473392,447712.22257479513
A_14,186432.70722527133,447687.2397986878
A_16,186431.0655945817,447637.274245887
A_17,186430.24478335583,447612.29146918247
A_18,186429.4239748753,447587.3086922689
A_19,186428.60316914052,447562.32591516984
A_20,186427.78236615076,447537.343137862
A_21,186426.96156590746,447512.36036035256
A_22,186417.57446529096,447987.8539498782
A_23,186416.7536154274,447962.8711732222
A_24,186415.9327683089,447937.8883963833
B_1,186415.11192393544,447912.90561932017
B_2,186414.29108230796,447887.92284207366
B_3,186413.47024342613,447862.9400646262
B_4,186412.64940728998,447837.95728698646
B_5,186411.8285738986,447812.97450913396
B_6,186411.0077432533,447787.9917310916
B_7,186410.1869153531,447763.0089528445
B_8,186409.3660901989,447738.02617439535
B_9,186408.54526779018,447713.04339574074
B_10,186407.7244481264,447688.0606168939
B_11,186406.90363120794,447663.0778378515
B_14,186404.44119692652,447588.129499501
B_15,186403.6203909897,447563.14671965013
B_16,186402.7995877993,447538.16393959854
B_17,186401.97878735326,447513.18115934083
B_18,186401.15798965312,447488.19837888423
B_19,186392.5916877944,447988.674801244
B_20,186391.7708377317,447963.6920218391
B_21,186390.94999041472,447938.70924223395
B_22,186390.1291458436,447913.7264624428
B_23,186389.30830401697,447888.7436824587
B_24,186388.48746493558,447863.76090226095
C_1,186387.6666285998,447838.77812186343
C_2,186386.84579500952,447813.7953412705
C_3,186386.02496416413,447788.8125604796
C_4,186385.2041360646,447763.82977948576
C_5,186384.38331070953,447738.8469982959
C_6,186383.56248810003,447713.86421690695
C_7,186382.74166823569,447688.88143531553
C_8,186381.92085111723,447663.89865351823
C_13,186377.8168067018,447538.9847415382
C_14,186376.99600605422,447514.0019585302
C_15,186376.17520815207,447489.0191753272
C_16,186375.35441299478,447464.03639191977
C_17,186367.60890755264,447989.4956527868
C_18,186366.78805729176,447964.51287064806
C_19,186365.96720977596,447939.5300883076
C_20,186365.14636500546,447914.54730576416
C_21,186364.32552297984,447889.5645230278
C_22,186363.50468369975,447864.581740082
C_23,186362.68384716427,447839.59895694675
D_1,186361.04218232972,447789.6333900743
D_2,186360.22135402984,447764.65060633107
D_3,186359.4005284747,447739.6678223943
D_4,186358.5797056649,447714.6850382556
D_5,186357.7588856004,447689.7022539229
D_6,186356.93806828116,447664.7194693815
D_7,186356.11725370624,447639.73668464
D_12,186352.01322200982,447514.82275793585
D_13,186351.19242390522,447489.8399719817
D_14,186350.37162854627,447464.8571858377
D_15,186349.5508359318,447439.87439947267
